Name,Date,Value
GDP,,
GDP,,
GDP,,6.7
GDP,,
GDP,,
GDP,,5.5
GDP,,
GDP,,
GDP,,2.8
GDP,,
GDP,,
GDP,,4.6
GDP,,
GDP,,
GDP,,4.9
GDP,,
GDP,,
GDP,,11.4
GDP,,
GDP,,
GDP,,8.3
GDP,,
GDP,,
GDP,,7.4
GDP,,
GDP,,
GDP,,6.7
GDP,,
GDP,,
GDP,,7
GDP,,
GDP,,
GDP,,6.2
GDP,,
GDP,,
GDP,,8.7
GDP,,
GDP,,
GDP,,10.4
GDP,,
GDP,,
GDP,,11.2
GDP,,
GDP,,
GDP,,11.1
GDP,,
GDP,,
GDP,,5.8
GDP,,
GDP,,
GDP,,-5.2
GDP,,
GDP,,
GDP,,-6.9
GDP,,
GDP,,
GDP,,-6.2
GDP,,
GDP,,
GDP,,-4
GDP,,
GDP,,
GDP,,-3.1
GDP,,
GDP,,
GDP,,-3
GDP,,
GDP,,
GDP,,-4.8
GDP,,
GDP,,
GDP,,-4.3
GDP,,
GDP,,
GDP,,4.2
GDP,,
GDP,,
GDP,,4
GDP,,
GDP,,
GDP,,6.2
GDP,,
GDP,,
GDP,,3.5
GDP,,
GDP,,
GDP,,2
GDP,,
GDP,,
GDP,,3.6
GDP,,
GDP,,
GDP,,0.5
GDP,,
GDP,,
GDP,,1.9
GDP,,
GDP,,
GDP,,-1.4
GDP,,
GDP,,
GDP,,-2
GDP,,
GDP,,
GDP,,1.3
GDP,,
GDP,,
GDP,,2.2
GDP,,
GDP,,
GDP,,5
GDP,,
GDP,,
GDP,,2.8
GDP,,
GDP,,
GDP,,4.8
GDP,,
GDP,,
GDP,2.3,4
GDP,,
GDP,,
GDP,2.7,3.7
GDP,,
GDP,,
GDP,4.1,2.6
GDP,,
GDP,,
GDP,3,3.2
GDP,,
GDP,,
GDP,3.8,3.2
GDP,,
GDP,,
GDP,3.8,2.5
GDP,,
GDP,,
GDP,4.1,4.1
GDP,,
GDP,,
GDP,5.1,2.4
GDP,,
GDP,,
GDP,4.7,2.6
GDP,,
GDP,,
GDP,4.4,6.8
GDP,,
GDP,,
GDP,4.8,7.3
GDP,,
GDP,,
GDP,5.8,9.8
GDP,,
GDP,,
GDP,7,8.3
GDP,,
