"Year","Month","Date","GDP Quarterly"
"1995","3","Fri Mar 31 1995 02:00:00 GMT+0300 (Eastern European Summer Time)",""
"1995","6","Sat Jul 01 1995 02:00:00 GMT+0300 (Eastern European Summer Time)",""
"1995","9","Sun Oct 01 1995 01:00:00 GMT+0200 (Eastern European Standard Time)",""
"1995","12","Sun Dec 31 1995 02:00:00 GMT+0200 (Eastern European Standard Time)",""
"1996","3","Sun Mar 31 1996 03:00:00 GMT+0300 (Eastern European Summer Time)","3.325806"
"1996","6","Mon Jul 01 1996 02:00:00 GMT+0300 (Eastern European Summer Time)","4.724315"
"1996","9","Tue Oct 01 1996 02:00:00 GMT+0300 (Eastern European Summer Time)","2.036209"
"1996","12","Tue Dec 31 1996 02:00:00 GMT+0200 (Eastern European Standard Time)","5.581605"
"1997","3","Mon Mar 31 1997 02:00:00 GMT+0300 (Eastern European Summer Time)","1.32421"
"1997","6","Tue Jul 01 1997 02:00:00 GMT+0300 (Eastern European Summer Time)","-3.00375"
"1997","9","Wed Oct 01 1997 02:00:00 GMT+0300 (Eastern European Summer Time)","-7.40016"
"1997","12","Wed Dec 31 1997 02:00:00 GMT+0200 (Eastern European Standard Time)","-7.14591"
"1998","3","Tue Mar 31 1998 02:00:00 GMT+0300 (Eastern European Summer Time)","-1.67144"
"1998","6","Wed Jul 01 1998 02:00:00 GMT+0300 (Eastern European Summer Time)","-1.42252"
"1998","9","Thu Oct 01 1998 02:00:00 GMT+0300 (Eastern European Summer Time)","-2.69398"
"1998","12","Thu Dec 31 1998 02:00:00 GMT+0200 (Eastern European Standard Time)","-1.97348"
"1999","3","Wed Mar 31 1999 02:00:00 GMT+0300 (Eastern European Summer Time)","-1.94205"
"1999","6","Thu Jul 01 1999 02:00:00 GMT+0300 (Eastern European Summer Time)","-0.57461"
"1999","9","Fri Oct 01 1999 02:00:00 GMT+0300 (Eastern European Summer Time)","0.048984"
"1999","12","Fri Dec 31 1999 02:00:00 GMT+0200 (Eastern European Standard Time)","0.308364"
"2000","3","Fri Mar 31 2000 02:00:00 GMT+0300 (Eastern European Summer Time)","2.956813"
"2000","6","Sat Jul 01 2000 02:00:00 GMT+0300 (Eastern European Summer Time)","5.547435"
"2000","9","Sun Oct 01 2000 02:00:00 GMT+0300 (Eastern European Summer Time)","1.740833"
"2000","12","Sun Dec 31 2000 02:00:00 GMT+0200 (Eastern European Standard Time)","0.650707"
"2001","3","Sat Mar 31 2001 02:00:00 GMT+0300 (Eastern European Summer Time)","2.703571"
"2001","6","Sun Jul 01 2001 02:00:00 GMT+0300 (Eastern European Summer Time)","2.961566"
"2001","9","Mon Oct 01 2001 02:00:00 GMT+0300 (Eastern European Summer Time)","7.018766"
"2001","12","Mon Dec 31 2001 02:00:00 GMT+0200 (Eastern European Standard Time)","6.664611"
"2002","3","Sun Mar 31 2002 02:00:00 GMT+0200 (Eastern European Standard Time)","5.140457"
"2002","6","Mon Jul 01 2002 02:00:00 GMT+0300 (Eastern European Summer Time)","5.981389"
"2002","9","Tue Oct 01 2002 02:00:00 GMT+0300 (Eastern European Summer Time)","5.439247"
"2002","12","Tue Dec 31 2002 02:00:00 GMT+0200 (Eastern European Standard Time)","6.062847"
"2003","3","Mon Mar 31 2003 02:00:00 GMT+0300 (Eastern European Summer Time)","0.629909"
"2003","6","Tue Jul 01 2003 02:00:00 GMT+0300 (Eastern European Summer Time)","1.606557"
"2003","9","Wed Oct 01 2003 02:00:00 GMT+0300 (Eastern European Summer Time)","4.142417"
"2003","12","Wed Dec 31 2003 02:00:00 GMT+0200 (Eastern European Standard Time)","2.270136"
"2004","3","Wed Mar 31 2004 02:00:00 GMT+0300 (Eastern European Summer Time)","7.95002"
"2004","6","Thu Jul 01 2004 02:00:00 GMT+0300 (Eastern European Summer Time)","9.205472"
"2004","9","Fri Oct 01 2004 02:00:00 GMT+0300 (Eastern European Summer Time)","10.6162"
"2004","12","Fri Dec 31 2004 02:00:00 GMT+0200 (Eastern European Standard Time)","12.57481"
"2005","3","Thu Mar 31 2005 02:00:00 GMT+0300 (Eastern European Summer Time)","6.735797"
"2005","6","Fri Jul 01 2005 02:00:00 GMT+0300 (Eastern European Summer Time)","5.511745"
"2005","9","Sat Oct 01 2005 02:00:00 GMT+0300 (Eastern European Summer Time)","2.762465"
"2005","12","Sat Dec 31 2005 02:00:00 GMT+0200 (Eastern European Standard Time)","4.580456"
"2006","3","Fri Mar 31 2006 02:00:00 GMT+0300 (Eastern European Summer Time)","4.868983"
"2006","6","Sat Jul 01 2006 02:00:00 GMT+0300 (Eastern European Summer Time)","11.41754"
"2006","9","Sun Oct 01 2006 02:00:00 GMT+0300 (Eastern European Summer Time)","8.253783"
"2006","12","Sun Dec 31 2006 02:00:00 GMT+0200 (Eastern European Standard Time)","7.35936"
"2007","3","Sat Mar 31 2007 02:00:00 GMT+0300 (Eastern European Summer Time)","6.721336"
"2007","6","Sun Jul 01 2007 02:00:00 GMT+0300 (Eastern European Summer Time)","6.955379"
"2007","9","Mon Oct 01 2007 02:00:00 GMT+0300 (Eastern European Summer Time)","6.209792"
"2007","12","Mon Dec 31 2007 02:00:00 GMT+0200 (Eastern European Standard Time)","8.664827"
"2008","3","Mon Mar 31 2008 02:00:00 GMT+0300 (Eastern European Summer Time)","10.35263"
"2008","6","Tue Jul 01 2008 02:00:00 GMT+0300 (Eastern European Summer Time)","11.24641"
"2008","9","Wed Oct 01 2008 02:00:00 GMT+0300 (Eastern European Summer Time)","11.0534"
"2008","12","Wed Dec 31 2008 02:00:00 GMT+0200 (Eastern European Standard Time)","5.794442"
"2009","3","Tue Mar 31 2009 02:00:00 GMT+0300 (Eastern European Summer Time)","-5.21609"
"2009","6","Wed Jul 01 2009 02:00:00 GMT+0300 (Eastern European Summer Time)","-6.89246"
"2009","9","Thu Oct 01 2009 02:00:00 GMT+0300 (Eastern European Summer Time)","-6.20863"
"2009","12","Thu Dec 31 2009 02:00:00 GMT+0200 (Eastern European Standard Time)","-4.02479"
"2010","3","Wed Mar 31 2010 02:00:00 GMT+0300 (Eastern European Summer Time)","-3.13691"
"2010","6","Thu Jul 01 2010 02:00:00 GMT+0300 (Eastern European Summer Time)","-2.99547"
"2010","9","Fri Oct 01 2010 02:00:00 GMT+0300 (Eastern European Summer Time)","-4.7706"
"2010","12","Fri Dec 31 2010 02:00:00 GMT+0200 (Eastern European Standard Time)","-4.32581"
"2011","3","Thu Mar 31 2011 02:00:00 GMT+0300 (Eastern European Summer Time)","4.207635"
"2011","6","Fri Jul 01 2011 02:00:00 GMT+0300 (Eastern European Summer Time)","4.03911"
"2011","9","Sat Oct 01 2011 02:00:00 GMT+0300 (Eastern European Summer Time)","6.182307"
"2011","12","Sat Dec 31 2011 02:00:00 GMT+0200 (Eastern European Standard Time)","3.488115"
"2012","3","Sat Mar 31 2012 02:00:00 GMT+0300 (Eastern European Summer Time)","1.950227"
"2012","6","Sun Jul 01 2012 02:00:00 GMT+0300 (Eastern European Summer Time)","3.579284"
"2012","9","Mon Oct 01 2012 02:00:00 GMT+0300 (Eastern European Summer Time)","0.501622"
"2012","12","Mon Dec 31 2012 02:00:00 GMT+0200 (Eastern European Standard Time)","1.85492"
