 Țara,Country,Orszag,Year,Value
Tările de Jos,Netherlands,Hollandia,2013,14999
Tările de Jos,Netherlands,Hollandia,2014,15107
Tările de Jos,Netherlands,Hollandia,2015,16538
Tările de Jos,Netherlands,Hollandia,2016,17222
Tările de Jos,Netherlands,Hollandia,2017,19638
Tările de Jos,Netherlands,Hollandia,2018,19389
Tările de Jos,Netherlands,Hollandia,2019,20516
Tările de Jos,Netherlands,Hollandia,2020,19994
Tările de Jos,Netherlands,Hollandia,2021,22185
Tările de Jos,Netherlands,Hollandia,2022,23606
Tările de Jos,Netherlands,Hollandia,2023,24283
Germania,Germany,Németország,2013,6816
Germania,Germany,Németország,2014,7792
Germania,Germany,Németország,2015,8014
Germania,Germany,Németország,2016,9367
Germania,Germany,Németország,2017,9704
Germania,Germany,Németország,2018,10299
Germania,Germany,Németország,2019,10893
Germania,Germany,Németország,2020,11070
Germania,Germany,Németország,2021,12549
Germania,Germany,Németország,2022,14012
Germania,Germany,Németország,2023,14839
Austria,Austria,Ausztria,2013,11575
Austria,Austria,Ausztria,2014,9600
Austria,Austria,Ausztria,2015,8934
Austria,Austria,Ausztria,2016,8350
Austria,Austria,Ausztria,2017,9575
Austria,Austria,Ausztria,2018,9915
Austria,Austria,Ausztria,2019,11109
Austria,Austria,Ausztria,2020,10858
Austria,Austria,Ausztria,2021,12280
Austria,Austria,Ausztria,2022,12901
Austria,Austria,Ausztria,2023,14714
Franța,France,Franciaország,2013,4538
Franța,France,Franciaország,2014,3594
Franța,France,Franciaország,2015,3772
Franța,France,Franciaország,2016,4811
Franța,France,Franciaország,2017,4731
Franța,France,Franciaország,2018,4920
Franța,France,Franciaország,2019,5487
Franța,France,Franciaország,2020,5642
Franța,France,Franciaország,2021,6495
Franța,France,Franciaország,2022,6504
Franța,France,Franciaország,2023,8583
Cipru,Cyprus,Ciprus,2013,2904
Cipru,Cyprus,Ciprus,2014,4501
Cipru,Cyprus,Ciprus,2015,4593
Cipru,Cyprus,Ciprus,2016,4603
Cipru,Cyprus,Ciprus,2017,4647
Cipru,Cyprus,Ciprus,2018,5015
Cipru,Cyprus,Ciprus,2019,5492
Cipru,Cyprus,Ciprus,2020,5445
Cipru,Cyprus,Ciprus,2021,6338
Cipru,Cyprus,Ciprus,2022,6809
Cipru,Cyprus,Ciprus,2023,8016
Italia,Italy,Olaszország,2013,2644
Italia,Italy,Olaszország,2014,2717
Italia,Italy,Olaszország,2015,3279
Italia,Italy,Olaszország,2016,4445
Italia,Italy,Olaszország,2017,4739
Italia,Italy,Olaszország,2018,7667
Italia,Italy,Olaszország,2019,7262
Italia,Italy,Olaszország,2020,7652
Italia,Italy,Olaszország,2021,7530
Italia,Italy,Olaszország,2022,8150
Italia,Italy,Olaszország,2023,6626
Elveția,Switzerland,Svájc,2013,2013
Elveția,Switzerland,Svájc,2014,2281
Elveția,Switzerland,Svájc,2015,2267
Elveția,Switzerland,Svájc,2016,2585
Elveția,Switzerland,Svájc,2017,3144
Elveția,Switzerland,Svájc,2018,3640
Elveția,Switzerland,Svájc,2019,3793
Elveția,Switzerland,Svájc,2020,4656
Elveția,Switzerland,Svájc,2021,5081
Elveția,Switzerland,Svájc,2022,5668
Elveția,Switzerland,Svájc,2023,5899
Luxemburg,Luxembourg,Luxemburg,2013,1516
Luxemburg,Luxembourg,Luxemburg,2014,2218
Luxemburg,Luxembourg,Luxemburg,2015,2824
Luxemburg,Luxembourg,Luxemburg,2016,3035
Luxemburg,Luxembourg,Luxemburg,2017,3543
Luxemburg,Luxembourg,Luxemburg,2018,3439
Luxemburg,Luxembourg,Luxemburg,2019,3779
Luxemburg,Luxembourg,Luxemburg,2020,3906
Luxemburg,Luxembourg,Luxemburg,2021,5225
Luxemburg,Luxembourg,Luxemburg,2022,5968
Luxemburg,Luxembourg,Luxemburg,2023,5059
Grecia,Greece,Görögország,2013,1981
Grecia,Greece,Görögország,2014,1821
Grecia,Greece,Görögország,2015,1831
Grecia,Greece,Görögország,2016,1969
Grecia,Greece,Görögország,2017,1723
Grecia,Greece,Görögország,2018,1335
Grecia,Greece,Görögország,2019,1249
Grecia,Greece,Görögország,2020,1234
Grecia,Greece,Görögország,2021,1271
Grecia,Greece,Görögország,2022,1193
Grecia,Greece,Görögország,2023,4044
Belgia,Belgium,Belgium,2013,1550
Belgia,Belgium,Belgium,2014,1386
Belgia,Belgium,Belgium,2015,1501
Belgia,Belgium,Belgium,2016,1952
Belgia,Belgium,Belgium,2017,1584
Belgia,Belgium,Belgium,2018,2276
Belgia,Belgium,Belgium,2019,2518
Belgia,Belgium,Belgium,2020,2202
Belgia,Belgium,Belgium,2021,2504
Belgia,Belgium,Belgium,2022,3017
Belgia,Belgium,Belgium,2023,3979
Ungaria,Hungary,Magyarország,2013,767
