?"Tara","Country","Orszag","Year","Value"
"??rile de Jos","Netherlands","Hollandia","","14999"
"??rile de Jos","Netherlands","Hollandia","","15107"
"??rile de Jos","Netherlands","Hollandia","","16538"
"??rile de Jos","Netherlands","Hollandia","","17222"
"??rile de Jos","Netherlands","Hollandia","","19638"
"??rile de Jos","Netherlands","Hollandia","","19389"
"??rile de Jos","Netherlands","Hollandia","","20516"
"??rile de Jos","Netherlands","Hollandia","","19994"
"??rile de Jos","Netherlands","Hollandia","","22185"
"??rile de Jos","Netherlands","Hollandia","","23606"
"??rile de Jos","Netherlands","Hollandia","","24283"
"Germania","Germany","N?metorsz?g","","6816"
"Germania","Germany","N?metorsz?g","","7792"
"Germania","Germany","N?metorsz?g","","8014"
"Germania","Germany","N?metorsz?g","","9367"
"Germania","Germany","N?metorsz?g","","9704"
"Germania","Germany","N?metorsz?g","","10299"
"Germania","Germany","N?metorsz?g","","10893"
"Germania","Germany","N?metorsz?g","","11070"
"Germania","Germany","N?metorsz?g","","12549"
"Germania","Germany","N?metorsz?g","","14012"
"Germania","Germany","N?metorsz?g","","14839"
"Austria","Austria","Ausztria","","11575"
"Austria","Austria","Ausztria","","9600"
"Austria","Austria","Ausztria","","8934"
"Austria","Austria","Ausztria","","8350"
"Austria","Austria","Ausztria","","9575"
"Austria","Austria","Ausztria","","9915"
"Austria","Austria","Ausztria","","11109"
"Austria","Austria","Ausztria","","10858"
"Austria","Austria","Ausztria","","12280"
"Austria","Austria","Ausztria","","12901"
"Austria","Austria","Ausztria","","14714"
"Fran?a","France","Franciaorsz?g","","4538"
"Fran?a","France","Franciaorsz?g","","3594"
"Fran?a","France","Franciaorsz?g","","3772"
"Fran?a","France","Franciaorsz?g","","4811"
"Fran?a","France","Franciaorsz?g","","4731"
"Fran?a","France","Franciaorsz?g","","4920"
"Fran?a","France","Franciaorsz?g","","5487"
"Fran?a","France","Franciaorsz?g","","5642"
"Fran?a","France","Franciaorsz?g","","6495"
"Fran?a","France","Franciaorsz?g","","6504"
"Fran?a","France","Franciaorsz?g","","8583"
"Cipru","Cyprus","Ciprus","","2904"
"Cipru","Cyprus","Ciprus","","4501"
"Cipru","Cyprus","Ciprus","","4593"
"Cipru","Cyprus","Ciprus","","4603"
"Cipru","Cyprus","Ciprus","","4647"
"Cipru","Cyprus","Ciprus","","5015"
"Cipru","Cyprus","Ciprus","","5492"
"Cipru","Cyprus","Ciprus","","5445"
"Cipru","Cyprus","Ciprus","","6338"
"Cipru","Cyprus","Ciprus","","6809"
"Cipru","Cyprus","Ciprus","","8016"
"Italia","Italy","Olaszorsz?g","","2644"
"Italia","Italy","Olaszorsz?g","","2717"
"Italia","Italy","Olaszorsz?g","","3279"
"Italia","Italy","Olaszorsz?g","","4445"
"Italia","Italy","Olaszorsz?g","","4739"
"Italia","Italy","Olaszorsz?g","","7667"
"Italia","Italy","Olaszorsz?g","","7262"
"Italia","Italy","Olaszorsz?g","","7652"
"Italia","Italy","Olaszorsz?g","","7530"
"Italia","Italy","Olaszorsz?g","","8150"
"Italia","Italy","Olaszorsz?g","","6626"
"Elve?ia","Switzerland","Sv?jc","","2013"
"Elve?ia","Switzerland","Sv?jc","","2281"
"Elve?ia","Switzerland","Sv?jc","","2267"
"Elve?ia","Switzerland","Sv?jc","","2585"
"Elve?ia","Switzerland","Sv?jc","","3144"
"Elve?ia","Switzerland","Sv?jc","","3640"
"Elve?ia","Switzerland","Sv?jc","","3793"
"Elve?ia","Switzerland","Sv?jc","","4656"
"Elve?ia","Switzerland","Sv?jc","","5081"
"Elve?ia","Switzerland","Sv?jc","","5668"
"Elve?ia","Switzerland","Sv?jc","","5899"
"Luxemburg","Luxembourg","Luxemburg","","1516"
"Luxemburg","Luxembourg","Luxemburg","","2218"
"Luxemburg","Luxembourg","Luxemburg","","2824"
"Luxemburg","Luxembourg","Luxemburg","","3035"
"Luxemburg","Luxembourg","Luxemburg","","3543"
"Luxemburg","Luxembourg","Luxemburg","","3439"
"Luxemburg","Luxembourg","Luxemburg","","3779"
"Luxemburg","Luxembourg","Luxemburg","","3906"
"Luxemburg","Luxembourg","Luxemburg","","5225"
"Luxemburg","Luxembourg","Luxemburg","","5968"
"Luxemburg","Luxembourg","Luxemburg","","5059"
"Grecia","Greece","G?r?gorsz?g","","1981"
"Grecia","Greece","G?r?gorsz?g","","1821"
"Grecia","Greece","G?r?gorsz?g","","1831"
"Grecia","Greece","G?r?gorsz?g","","1969"
"Grecia","Greece","G?r?gorsz?g","","1723"
"Grecia","Greece","G?r?gorsz?g","","1335"
