?"Categoria","Kateg?ria","Category","Year","Value"
"Industrie","Ipar","Industry","2013","29010"
"Industrie","Ipar","Industry","2014","30013"
"Industrie","Ipar","Industry","2015","28521"
"Industrie","Ipar","Industry","2016","31124"
"Industrie","Ipar","Industry","2017","32666"
"Industrie","Ipar","Industry","2018","33311"
"Industrie","Ipar","Industry","2019","35648"
"Industrie","Ipar","Industry","2020","35693"
"Industrie","Ipar","Industry","2021","38986"
"Industrie","Ipar","Industry","2022","42148"
"Industrie","Ipar","Industry","2023","45663"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2013","3548"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2014","3387"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2015","1985"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2016","1842"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2017","1965"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2018","2273"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2019","3921"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2020","3373"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2021","4018"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2022","3920"
"Industria Extractiv?","Kitermel?ipar","Extractive Industry","2023","4699"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2013","2402"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2014","2562"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2015","2170"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2016","2398"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2017","2517"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2018","2678"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2019","2651"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2020","2877"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2021","3227"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2022","3982"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2023","4465"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2013","1658"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2014","1628"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2015","1461"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2016","1433"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2017","1419"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2018","1497"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2019","1512"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2020","1454"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2021","1500"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2022","1706"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2023","1918"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2013","1154"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2014","1550"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2015","1704"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2016","1436"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2017","1340"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2018","1398"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2019","1453"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2020","1513"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2021","1523"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2022","1664"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2023","1548"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2013","1270"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2014","1481"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2015","1493"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2016","1724"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2017","1857"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2018","1942"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2019","2023"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2020","2321"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2021","2490"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2022","3108"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2023","3358"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2013","1369"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2014","1526"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2015","1703"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2016","1597"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2017","1715"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2018","1834"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2019","1925"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2020","1920"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2021","2288"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2022","2487"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2023","2457"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2013","2435"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2014","2823"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2015","2672"
"Industria Prelucr?toare","Feldolgoz?ipar","Manufacturing Industry","2016","2898"
