?"Activitate","Tev?kenys?g","Activity","Year","Value"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2013","2402"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2014","2562"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2015","2170"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2016","2398"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2017","2517"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2018","2678"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2019","2651"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2020","2877"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2021","3227"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2022","3982"
"Alimente, B?uturi ?i Tutun","?lelmiszerek, Italok ?s Doh?ny","Food, Beverages, And Tobacco","2023","4465"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2013","1658"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2014","1628"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2015","1461"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2016","1433"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2017","1419"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2018","1497"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2019","1512"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2020","1454"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2021","1500"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2022","1706"
"Ciment, Sticl?, Ceramic?","Cement, ?veg, Ker?mia","Cement, Glass, Ceramics","2023","1918"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2013","1154"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2014","1550"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2015","1704"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2016","1436"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2017","1340"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2018","1398"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2019","1453"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2020","1513"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2021","1523"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2022","1664"
"Fabricare Produse Din Lemn, Inclusiv Mobil?","Fa?ruk Gy?rt?sa, Bele?rtve A B?torokat","Manufacture Of Wood Products, Including Furniture","2023","1548"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2013","1270"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2014","1481"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2015","1493"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2016","1724"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2017","1857"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2018","1942"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2019","2023"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2020","2321"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2021","2490"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2022","3108"
"Fabricarea Calculatoarelor, Altor Produse Electronice, Optice ?i Electrice","Sz?m?t?g?pek, Egy?b Elektronikus, Optikai ?s Elektromos Term?kek Gy?rt?sa","Manufacture Of Computers, Other Electronic, Optical, And Electrical Products","2023","3358"
"Ma?ini, Utilaje ?i Echipamente","G?pek, Berendez?sek ?s Felszerel?sek Gy?rt?sa","Machinery And Equipment Manufacturing","2013","1369"
"Ma?ini, Utilaje ?i Echipamente","G?pek, Berendez?sek ?s Felszerel?sek Gy?rt?sa","Machinery And Equipment Manufacturing","2014","1526"
"Ma?ini, Utilaje ?i Echipamente","G?pek, Berendez?sek ?s Felszerel?sek Gy?rt?sa","Machinery And Equipment Manufacturing","2015","1703"
"Ma?ini, Utilaje ?i Echipamente","G?pek, Berendez?sek ?s Felszerel?sek Gy?rt?sa","Machinery And Equipment Manufacturing","2016","1597"
"Ma?ini, Utilaje ?i Echipamente","G?pek, Berendez?sek ?s Felszerel?sek Gy?rt?sa","Machinery And Equipment Manufacturing","2017","1715"
