?"Judet","Megye","County","CountyCode","Year","Value"
"Total","","","","2013","57443"
"Total","","","","2014","59222"
"Total","","","","2015","60627"
"Total","","","","2016","66577"
"Total","","","","2017","71173"
"Total","","","","2018","75502"
"Total","","","","2019","82528"
"Total","","","","2020","87083"
"Total","","","","2021","96797"
"Total","","","","2022","105340"
"Total","","","","2023","115496"
"Alba","Feh?r","Alba","1","2013","886"
"Alba","Feh?r","Alba","1","2014","1192"
"Alba","Feh?r","Alba","1","2015","963"
"Alba","Feh?r","Alba","1","2016","1103"
"Alba","Feh?r","Alba","1","2017","828"
"Alba","Feh?r","Alba","1","2018","828"
"Alba","Feh?r","Alba","1","2019","1065"
"Alba","Feh?r","Alba","1","2020","1024"
"Alba","Feh?r","Alba","1","2021","1270"
"Alba","Feh?r","Alba","1","2022","1327"
"Alba","Feh?r","Alba","1","2023","1375"
"Arge?","Arge?","Arges","3","2013","1450"
"Arge?","Arge?","Arges","3","2014","582"
"Arge?","Arge?","Arges","3","2015","791"
"Arge?","Arge?","Arges","3","2016","1037"
"Arge?","Arge?","Arges","3","2017","1117"
"Arge?","Arge?","Arges","3","2018","1233"
"Arge?","Arge?","Arges","3","2019","1425"
"Arge?","Arge?","Arges","3","2020","1521"
"Arge?","Arge?","Arges","3","2021","1606"
"Arge?","Arge?","Arges","3","2022","1743"
"Arge?","Arge?","Arges","3","2023","1850"
"Arad","Arad","Arad","2","2013","760"
"Arad","Arad","Arad","2","2014","854"
"Arad","Arad","Arad","2","2015","959"
"Arad","Arad","Arad","2","2016","1079"
"Arad","Arad","Arad","2","2017","1216"
"Arad","Arad","Arad","2","2018","1011"
"Arad","Arad","Arad","2","2019","914"
"Arad","Arad","Arad","2","2020","1103"
"Arad","Arad","Arad","2","2021","1498"
"Arad","Arad","Arad","2","2022","1362"
"Arad","Arad","Arad","2","2023","1582"
"Bac?u","B?k?","Bacau","4","2013","165"
"Bac?u","B?k?","Bacau","4","2014","165"
"Bac?u","B?k?","Bacau","4","2015","193"
"Bac?u","B?k?","Bacau","4","2016","143"
"Bac?u","B?k?","Bacau","4","2017","144"
"Bac?u","B?k?","Bacau","4","2018","458"
"Bac?u","B?k?","Bacau","4","2019","356"
"Bac?u","B?k?","Bacau","4","2020","329"
"Bac?u","B?k?","Bacau","4","2021","0"
"Bac?u","B?k?","Bacau","4","2022","0"
"Bac?u","B?k?","Bacau","4","2023","1257"
"Bihor","Bihar","Bihor","5","2013","526"
"Bihor","Bihar","Bihor","5","2014","584"
"Bihor","Bihar","Bihor","5","2015","613"
"Bihor","Bihar","Bihor","5","2016","656"
"Bihor","Bihar","Bihor","5","2017","667"
"Bihor","Bihar","Bihor","5","2018","700"
"Bihor","Bihar","Bihor","5","2019","876"
"Bihor","Bihar","Bihor","5","2020","1023"
"Bihor","Bihar","Bihor","5","2021","1014"
"Bihor","Bihar","Bihor","5","2022","1082"
"Bihor","Bihar","Bihor","5","2023","1293"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2013","110"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2014","120"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2015","149"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2016","188"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2017","136"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2018","116"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2019","138"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2020","123"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2021","173"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2022","225"
"Bistri?a-N?s?ud","Beszterce-Nasz?d","Bistrita-Nasaud","6","2023","213"
"Br?ila","Br?ila","Braila","9","2013","136"
"Br?ila","Br?ila","Braila","9","2014","136"
"Br?ila","Br?ila","Braila","9","2015","80"
"Br?ila","Br?ila","Braila","9","2016","90"
"Br?ila","Br?ila","Braila","9","2017","112"
"Br?ila","Br?ila","Braila","9","2018","131"
"Br?ila","Br?ila","Braila","9","2019","170"
"Br?ila","Br?ila","Braila","9","2020","199"
"Br?ila","Br?ila","Braila","9","2021","214"
"Br?ila","Br?ila","Braila","9","2022","250"
"Br?ila","Br?ila","Braila","9","2023","264"
"Boto?ani","Botos?ny","Botosani","7","2013","84"
"Boto?ani","Botos?ny","Botosani","7","2014","70"
"Boto?ani","Botos?ny","Botosani","7","2015","78"
"Boto?ani","Botos?ny","Botosani","7","2016","80"
"Boto?ani","Botos?ny","Botosani","7","2017","77"
"Boto?ani","Botos?ny","Botosani","7","2018","76"
"Boto?ani","Botos?ny","Botosani","7","2019","70"
"Boto?ani","Botos?ny","Botosani","7","2020","74"
"Boto?ani","Botos?ny","Botosani","7","2021","80"
"Boto?ani","Botos?ny","Botosani","7","2022","124"
"Boto?ani","Botos?ny","Botosani","7","2023","142"
"Bra?ov","Brass?","Brasov","8","2013","1827"
"Bra?ov","Brass?","Brasov","8","2014","1880"
"Bra?ov","Brass?","Brasov","8","2015","2128"
