?"Activitatea","Tev?kenys?g","Activity","Year","Value"
"Alimente, b?uturi ?i tutun","?lelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2013","2402"
"Alimente, b?uturi ?i tutun","Élelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2014","2562"
"Alimente, b?uturi ?i tutun","Élelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2015","2170"
"Alimente, b?uturi ?i tutun","Élelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2016","2398"
"Alimente, b?uturi ?i tutun","Élelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2017","2517"
"Alimente, b?uturi ?i tutun","Élelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2018","2678"
"Alimente, b?uturi ?i tutun","Élelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2019","2651"
"Alimente, b?uturi ?i tutun","Élelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2020","2877"
"Alimente, b?uturi ?i tutun","Élelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2021","3227"
"Alimente, b?uturi ?i tutun","Élelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2022","3982"
"Alimente, b?uturi ?i tutun","Élelmiszerek, italok ?s doh?ny","Food, beverages, and tobacco","2023","4465"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2013","1658"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2014","1628"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2015","1461"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2016","1433"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2017","1419"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2018","1497"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2019","1512"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2020","1454"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2021","1500"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2022","1706"
"Ciment, sticl?, ceramic?","Cement, ?veg, ker?mia","Cement, glass, ceramics","2023","1918"
"Fabricare produse din lemn, inclusiv mobil?","Fa?ruk gy?rt?sa, bele?rtve a b?torokat","Manufacture of wood products, including furniture","2013","1154"
"Fabricare produse din lemn, inclusiv mobil?","Fa?ruk gy?rt?sa, bele?rtve a b?torokat","Manufacture of wood products, including furniture","2014","1550"
"Fabricare produse din lemn, inclusiv mobil?","Fa?ruk gy?rt?sa, bele?rtve a b?torokat","Manufacture of wood products, including furniture","2015","1704"
"Fabricare produse din lemn, inclusiv mobil?","Fa?ruk gy?rt?sa, bele?rtve a b?torokat","Manufacture of wood products, including furniture","2016","1436"
"Fabricare produse din lemn, inclusiv mobil?","Fa?ruk gy?rt?sa, bele?rtve a b?torokat","Manufacture of wood products, including furniture","2017","1340"
"Fabricare produse din lemn, inclusiv mobil?","Fa?ruk gy?rt?sa, bele?rtve a b?torokat","Manufacture of wood products, including furniture","2018","1398"
"Fabricare produse din lemn, inclusiv mobil?","Fa?ruk gy?rt?sa, bele?rtve a b?torokat","Manufacture of wood products, including furniture","2019","1453"
"Fabricare produse din lemn, inclusiv mobil?","Fa?ruk gy?rt?sa, bele?rtve a b?torokat","Manufacture of wood products, including furniture","2020","1513"
"Fabricare produse din lemn, inclusiv mobil?","Fa?ruk gy?rt?sa, bele?rtve a b?torokat","Manufacture of wood products, including furniture","2021","1523"
