?"Categoria","Kateg?ria","Category","Year","Value"
"Industrie","Ipar","Industry","2013","29010"
"Industrie","Ipar","Industry","2014","30013"
"Industrie","Ipar","Industry","2015","28521"
"Industrie","Ipar","Industry","2016","31124"
"Industrie","Ipar","Industry","2017","32666"
"Industrie","Ipar","Industry","2018","33311"
"Industrie","Ipar","Industry","2019","35648"
"Industrie","Ipar","Industry","2020","35693"
"Industrie","Ipar","Industry","2021","38986"
"Industrie","Ipar","Industry","2022","42148"
"Industrie","Ipar","Industry","2023","45663"
"Industrie","Ipar","Industry","2024","46329"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2013","3548"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2014","3387"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2015","1985"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2016","1842"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2017","1965"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2018","2273"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2019","3921"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2020","3373"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2021","4018"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2022","3920"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2023","4699"
"Industria extractiv?","Kitermel?ipar","Extractive industry","2024","6108"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2013","18581"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2014","19431"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2015","19975"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2016","22494"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2017","24250"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2018","25032"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2019","25596"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2020","26475"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2021","30040"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2022","32577"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2023","34675"
"Industria prelucr?toare","Feldolgoz?ipar","Manufacturing industry","2024","35250"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2013","6881"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2014","7195"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2015","6561"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2016","6788"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2017","6451"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2018","6006"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2019","6131"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2020","5845"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2021","4928"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2022","5651"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2023","6289"
"Energie electric?, gaze ?i ap?","Villamos energia, g?z ?s v?z","Electricity, gas, and water","2024","4970"
"Activit??i profesionale, ?tiin?ifice, tehnice ?i administrative ?i servicii suport","Szakmai, tudom?nyos, m?szaki ?s adminisztrat?v tev?kenys?gek ?s t?mogat? szolg?ltat?sok","Professional, scientific, technical, and administrative activities and support services","2013","2999"
"Activit??i profesionale, ?tiin?ifice, tehnice ?i administrative ?i servicii suport","Szakmai, tudom?nyos, m?szaki ?s adminisztrat?v tev?kenys?gek ?s t?mogat? szolg?ltat?sok","Professional, scientific, technical, and administrative activities and support services","2014","3180"
"Activit??i profesionale, ?tiin?ifice, tehnice ?i administrative ?i servicii suport","Szakmai, tudom?nyos, m?szaki ?s adminisztrat?v tev?kenys?gek ?s t?mogat? szolg?ltat?sok","Professional, scientific, technical, and administrative activities and support services","2015","4133"
"Activit??i profesionale, ?tiin?ifice, tehnice ?i administrative ?i servicii suport","Szakmai, tudom?nyos, m?szaki ?s adminisztrat?v tev?kenys?gek ?s t?mogat? szolg?ltat?sok","Professional, scientific, technical, and administrative activities and support services","2016","3984"
"Activit??i profesionale, ?tiin?ifice, tehnice ?i administrative ?i servicii suport","Szakmai, tudom?nyos, m?szaki ?s adminisztrat?v tev?kenys?gek ?s t?mogat? szolg?ltat?sok","Professional, scientific, technical, and administrative activities and support services","2017","4088"
"Activit??i profesionale, ?tiin?ifice, tehnice ?i administrative ?i servicii suport","Szakmai, tudom?nyos, m?szaki ?s adminisztrat?v tev?kenys?gek ?s t?mogat? szolg?ltat?sok","Professional, scientific, technical, and administrative activities and support services","2018","3991"
"Activit??i profesionale, ?tiin?ifice, tehnice ?i administrative ?i servicii suport","Szakmai, tudom?nyos, m?szaki ?s adminisztrat?v tev?kenys?gek ?s t?mogat? szolg?ltat?sok","Professional, scientific, technical, and administrative activities and support services","2019","4386"
"Activit??i profesionale, ?tiin?ifice, tehnice ?i administrative ?i servicii suport","Szakmai, tudom?nyos, m?szaki ?s adminisztrat?v tev?kenys?gek ?s t?mogat? szolg?ltat?sok","Professional, scientific, technical, and administrative activities and support services","2020","4183"
"Activit??i profesionale, ?tiin?ifice, tehnice ?i administrative ?i servicii suport","Szakmai, tudom?nyos, m?szaki ?s adminisztrat?v tev?kenys?gek ?s t?mogat? szolg?ltat?sok","Professional, scientific, technical, and administrative activities and support services","2021","4040"
"Activit??i profesionale, ?tiin?ifice, tehnice ?i administrative ?i servicii suport","Szakmai, tudom?nyos, m?szaki ?s adminisztrat?v tev?kenys?gek ?s t?mogat? szolg?ltat?sok","Professional, scientific, technical, and administrative activities and support services","2022","4322"
