Name,Date,Value
,15 - 24 years  - Total,Total
2004-01,15 - 24 years  - Total,19.4
2004-02,15 - 24 years  - Total,19.4
2004-03,15 - 24 years  - Total,19.4
2004-04,15 - 24 years  - Total,21.4
2004-05,15 - 24 years  - Total,21.4
2004-06,15 - 24 years  - Total,21.4
2004-07,15 - 24 years  - Total,20.7
2004-08,15 - 24 years  - Total,20.7
2004-09,15 - 24 years  - Total,20.7
2004-10,15 - 24 years  - Total,20.3
2004-11,15 - 24 years  - Total,20.3
2004-12,15 - 24 years  - Total,20.3
2005-01,15 - 24 years  - Total,20.5
2005-02,15 - 24 years  - Total,20.5
2005-03,15 - 24 years  - Total,20.5
2005-04,15 - 24 years  - Total,18.1
2005-05,15 - 24 years  - Total,18.1
2005-06,15 - 24 years  - Total,18.1
2005-07,15 - 24 years  - Total,18.5
2005-08,15 - 24 years  - Total,18.5
2005-09,15 - 24 years  - Total,18.5
2005-10,15 - 24 years  - Total,19.3
2005-11,15 - 24 years  - Total,19.3
2005-12,15 - 24 years  - Total,19.3
2006-01,15 - 24 years  - Total,19.8
2006-02,15 - 24 years  - Total,19.8
2006-03,15 - 24 years  - Total,19.8
2006-04,15 - 24 years  - Total,18.9
2006-05,15 - 24 years  - Total,18.9
2006-06,15 - 24 years  - Total,18.9
2006-07,15 - 24 years  - Total,21.5
2006-08,15 - 24 years  - Total,21.5
2006-09,15 - 24 years  - Total,21.5
2006-10,15 - 24 years  - Total,20.4
2006-11,15 - 24 years  - Total,20.4
2006-12,15 - 24 years  - Total,20.4
2007-01,15 - 24 years  - Total,19.8
2007-02,15 - 24 years  - Total,19.8
2007-03,15 - 24 years  - Total,19.8
2007-04,15 - 24 years  - Total,19.4
2007-05,15 - 24 years  - Total,19.4
2007-06,15 - 24 years  - Total,19.4
2007-07,15 - 24 years  - Total,19.7
2007-08,15 - 24 years  - Total,19.7
2007-09,15 - 24 years  - Total,19.7
2007-10,15 - 24 years  - Total,18.3
2007-11,15 - 24 years  - Total,18.3
2007-12,15 - 24 years  - Total,18.3
2008-01,15 - 24 years  - Total,17.2
2008-02,15 - 24 years  - Total,17.2
2008-03,15 - 24 years  - Total,17.2
2008-04,15 - 24 years  - Total,17.4
2008-05,15 - 24 years  - Total,17.4
2008-06,15 - 24 years  - Total,17.4
2008-07,15 - 24 years  - Total,17.9
2008-08,15 - 24 years  - Total,17.9
2008-09,15 - 24 years  - Total,17.9
2008-10,15 - 24 years  - Total,17.7
2008-11,15 - 24 years  - Total,17.7
2008-12,15 - 24 years  - Total,17.7
2009-01,15 - 24 years  - Total,25
2009-02,15 - 24 years  - Total,25
2009-03,15 - 24 years  - Total,25
2009-04,15 - 24 years  - Total,23.8
2009-05,15 - 24 years  - Total,23.8
2009-06,15 - 24 years  - Total,23.8
2009-07,15 - 24 years  - Total,26.2
2009-08,15 - 24 years  - Total,26.2
2009-09,15 - 24 years  - Total,26.2
2009-10,15 - 24 years  - Total,23.9
2009-11,15 - 24 years  - Total,23.9
2009-12,15 - 24 years  - Total,23.9
2010-01,15 - 24 years  - Total,27.8
2010-02,15 - 24 years  - Total,27.8
2010-03,15 - 24 years  - Total,27.8
2010-04,15 - 24 years  - Total,27.6
2010-05,15 - 24 years  - Total,27.6
2010-06,15 - 24 years  - Total,27.6
2010-07,15 - 24 years  - Total,29
2010-08,15 - 24 years  - Total,29
2010-09,15 - 24 years  - Total,29
2010-10,15 - 24 years  - Total,27.5
2010-11,15 - 24 years  - Total,27.5
2010-12,15 - 24 years  - Total,27.5
2011-01,15 - 24 years  - Total,28.4
2011-02,15 - 24 years  - Total,28.4
2011-03,15 - 24 years  - Total,28.4
2011-04,15 - 24 years  - Total,28
2011-05,15 - 24 years  - Total,28
2011-06,15 - 24 years  - Total,28
2011-07,15 - 24 years  - Total,30.1
2011-08,15 - 24 years  - Total,30.1
2011-09,15 - 24 years  - Total,30.1
2011-10,15 - 24 years  - Total,31
2011-11,15 - 24 years  - Total,31
2011-12,15 - 24 years  - Total,31
2012-01,15 - 24 years  - Total,28.1
2012-02,15 - 24 years  - Total,28.1
2012-03,15 - 24 years  - Total,28.1
2012-04,15 - 24 years  - Total,28.2
2012-05,15 - 24 years  - Total,28.2
2012-06,15 - 24 years  - Total,28.2
2012-07,15 - 24 years  - Total,28.8
2012-08,15 - 24 years  - Total,28.8
2012-09,15 - 24 years  - Total,28.8
2012-10,15 - 24 years  - Total,27.6
2012-11,15 - 24 years  - Total,27.6
2012-12,15 - 24 years  - Total,27.6
2013-01,15 - 24 years  - Total,28.9
2013-02,15 - 24 years  - Total,28.9
2013-03,15 - 24 years  - Total,28.9
2013-04,15 - 24 years  - Total,30.1
2013-05,15 - 24 years  - Total,30.1
2013-06,15 - 24 years  - Total,30.1
2013-07,15 - 24 years  - Total,29.4
2013-08,15 - 24 years  - Total,29.4
2013-09,15 - 24 years  - Total,29.4
2013-10,15 - 24 years  - Total,30.2
2013-11,15 - 24 years  - Total,30.2
2013-12,15 - 24 years  - Total,30.2
2014-01,15 - 24 years  - Total,30.9
2014-02,15 - 24 years  - Total,30.9
2014-03,15 - 24 years  - Total,30.9
2014-04,15 - 24 years  - Total,30.7
2014-05,15 - 24 years  - Total,30.7
2014-06,15 - 24 years  - Total,30.7
2014-07,15 - 24 years  - Total,29.1
2014-08,15 - 24 years  - Total,29.1
2014-09,15 - 24 years  - Total,29.1
2014-10,15 - 24 years  - Total,29.5
2014-11,15 - 24 years  - Total,29.5
2014-12,15 - 24 years  - Total,29.5
2015-01,15 - 24 years  - Total,29.4
2015-02,15 - 24 years  - Total,29.4
2015-03,15 - 24 years  - Total,29.4
2015-04,15 - 24 years  - Total,26.9
2015-05,15 - 24 years  - Total,26.9
2015-06,15 - 24 years  - Total,26.9
2015-07,15 - 24 years  - Total,26.1
2015-08,15 - 24 years  - Total,26.1
2015-09,15 - 24 years  - Total,26.1
2015-10,15 - 24 years  - Total,26.7
2015-11,15 - 24 years  - Total,26.7
2015-12,15 - 24 years  - Total,26.7
2016-01,15 - 24 years  - Total,26.6
2016-02,15 - 24 years  - Total,26.6
2016-03,15 - 24 years  - Total,26.6
2016-04,15 - 24 years  - Total,25.8
2016-05,15 - 24 years  - Total,25.8
2016-06,15 - 24 years  - Total,25.8
2016-07,15 - 24 years  - Total,26.3
2016-08,15 - 24 years  - Total,26.3
2016-09,15 - 24 years  - Total,26.3
2016-10,15 - 24 years  - Total,24.7
2016-11,15 - 24 years  - Total,24.7
2016-12,15 - 24 years  - Total,24.7
2017-01,15 - 24 years  - Total,24.4
2017-02,15 - 24 years  - Total,24.4
2017-03,15 - 24 years  - Total,24.4
2017-04,15 - 24 years  - Total,21.3
2017-05,15 - 24 years  - Total,21.3
2017-06,15 - 24 years  - Total,21.3
2017-07,15 - 24 years  - Total,21.5
2017-08,15 - 24 years  - Total,21.5
2017-09,15 - 24 years  - Total,21.5
2017-10,15 - 24 years  - Total,25
2017-11,15 - 24 years  - Total,25
2017-12,15 - 24 years  - Total,25
2018-01,15 - 24 years  - Total,20.8
2018-02,15 - 24 years  - Total,20.8
2018-03,15 - 24 years  - Total,20.8
2018-04,15 - 24 years  - Total,20.7
2018-05,15 - 24 years  - Total,20.7
2018-06,15 - 24 years  - Total,20.7
2018-07,15 - 24 years  - Total,20.3
2018-08,15 - 24 years  - Total,20.3
2018-09,15 - 24 years  - Total,20.3
2018-10,15 - 24 years  - Total,20.4
2018-11,15 - 24 years  - Total,20.4
2018-12,15 - 24 years  - Total,20.4
2019-01,15 - 24 years  - Total,19.7
2019-02,15 - 24 years  - Total,19.7
2019-03,15 - 24 years  - Total,19.7
2019-04,15 - 24 years  - Total,20.1
2019-05,15 - 24 years  - Total,20.1
2019-06,15 - 24 years  - Total,20.1
2019-07,15 - 24 years  - Total,21.7
2019-08,15 - 24 years  - Total,21.7
2019-09,15 - 24 years  - Total,21.7
2019-10,15 - 24 years  - Total,22.2
2019-11,15 - 24 years  - Total,22.2
2019-12,15 - 24 years  - Total,22.2
2020-01,15 - 24 years  - Total,21.3
2020-02,15 - 24 years  - Total,21.3
2020-03,15 - 24 years  - Total,21.3
2020-04,15 - 24 years  - Total,20.3
2020-05,15 - 24 years  - Total,20.3
2020-06,15 - 24 years  - Total,20.3
2020-07,15 - 24 years  - Total,23.4
2020-08,15 - 24 years  - Total,23.4
2020-09,15 - 24 years  - Total,23.4
2020-10,15 - 24 years  - Total,21.4
2020-11,15 - 24 years  - Total,21.4
2020-12,15 - 24 years  - Total,21.4
2021-01,15 - 24 years  - Total,21.9
2021-02,15 - 24 years  - Total,21.9
2021-03,15 - 24 years  - Total,21.9
2021-04,15 - 24 years  - Total,18.4
2021-05,15 - 24 years  - Total,18.4
2021-06,15 - 24 years  - Total,18.4
2021-07,15 - 24 years  - Total,20.6
2021-08,15 - 24 years  - Total,20.6
2021-09,15 - 24 years  - Total,20.6
2021-10,15 - 24 years  - Total,23.3
2021-11,15 - 24 years  - Total,23.3
2021-12,15 - 24 years  - Total,23.3
2022-01,15 - 24 years  - Total,23.5
2022-02,15 - 24 years  - Total,23.5
2022-03,15 - 24 years  - Total,23.5
2022-04,15 - 24 years  - Total,22
2022-05,15 - 24 years  - Total,22
2022-06,15 - 24 years  - Total,22
2022-07,15 - 24 years  - Total,23
2022-08,15 - 24 years  - Total,23
2022-09,15 - 24 years  - Total,23
