?"County","CountyCode","Year","Total","Male","Female"
"Alba","1","2012","0.5221404537321475","0.5629410994608619","0.48260711629274705"
"Alba","1","2013","0.535466559848255","0.5787182197695877","0.49338090865770173"
"Alba","1","2014","0.5095982731103261","0.5595628939107096","0.46077013600622946"
"Alba","1","2015","0.5019126862450323","0.5510605201914844","0.45397611332937376"
"Alba","1","2016","0.5052655567816533","0.5650404034266966","0.44701535838198203"
"Alba","1","2017","0.5085298863286136","0.5617840007833154","0.45659102574815275"
"Alba","1","2018","0.5123924646016621","0.5591551640167931","0.46671283610851827"
"Alba","1","2019","0.5177048928489131","0.5645291652677783","0.471958841787491"
"Alba","1","2020","0.5221078097083663","0.5684267073102173","0.4768874252957678"
"Alba","1","2021","0.4691795429001958","0.5138175253437023","0.425735822628504"
"Alba","1","2022","0.4841656048999893","0.5406519038313865","0.42950863245901244"
"Alba","1","2023","0.47179657187760915","0.5177560987796195","0.42737622387753377"
"Arad","2","2012","0.49688518005122095","0.5385875325175836","0.458084382549764"
"Arad","2","2013","0.5057899330811755","0.5636365386651777","0.4516219176353401"
"Arad","2","2014","0.5097190004648675","0.5692435129356013","0.4536484678023"
"Arad","2","2015","0.506193188079256","0.5910131239678998","0.4261331267233325"
"Arad","2","2016","0.5098154807522254","0.5816861128509903","0.44195450252610924"
"Arad","2","2017","0.5057423321025515","0.5822139721609152","0.433311952303383"
"Arad","2","2018","0.511052524842831","0.5797186601840019","0.4457928877886253"
"Arad","2","2019","0.5078198018568135","0.5840771433764473","0.4351793360005615"
"Arad","2","2020","0.5041907702073025","0.5554953659473462","0.4552458985586229"
"Arad","2","2021","0.46000944229907875","0.5322420634920635","0.3911367559770142"
"Arad","2","2022","0.4738204454497151","0.55786326329942","0.3944062574069685"
"Arad","2","2023","0.4690385805552442","0.5432113613357787","0.3988428341079389"
"Arges","3","2012","0.4348438031894001","0.4699826742249659","0.4015565095178454"
"Arges","3","2013","0.437219527710621","0.47609708593417144","0.4002559065876657"
"Arges","3","2014","0.4288648736330036","0.4650547930811236","0.3943273790653891"
"Arges","3","2015","0.4272856450347409","0.460296445924551","0.3957959697814985"
"Arges","3","2016","0.43087531304341986","0.4692203168269148","0.39433701883836114"
"Arges","3","2017","0.4402884227852646","0.48323088237334705","0.3993330113083698"
"Arges","3","2018","0.44322048511813805","0.4782113218627869","0.4098155496300647"
"Arges","3","2019","0.44645320604789757","0.48716302499664876","0.4075216074163535"
"Arges","3","2020","0.44471720123714137","0.48295272820316","0.4080965817231274"
"Arges","3","2021","0.39957664950840976","0.44590074112524153","0.35532907535248853"
"Arges","3","2022","0.41187977696754174","0.4562718258520048","0.3701727016449079"
"Arges","3","2023","0.40962232362108253","0.4513205507863421","0.37048461169374186"
"Bacau","4","2012","0.3709817097389617","0.41635187341847324","0.3267921351383484"
"Bacau","4","2013","0.36790021444451004","0.4131984745481678","0.32360780549809015"
