"County","CountyCode","Year","Variable","Value","Percentage"
"TOTAL","TOTAL","2008","5046317","5046317","0.9999998018357147"
"TOTAL","TOTAL","2009","5046317","4774263","0.9999997905436314"
"TOTAL","TOTAL","2010","5046317","4376044","0.9999997714831543"
"TOTAL","TOTAL","2011","5046317","4348739","0.9999997700483358"
"TOTAL","TOTAL","2012","5046317","4442865","0.9999997749200629"
"TOTAL","TOTAL","2013","5046317","4443554","0.9999997749549628"
"TOTAL","TOTAL","2014","5046317","4507729","0.9999997781588515"
"TOTAL","TOTAL","2015","5046317","4611395","0.9999997831459281"
"TOTAL","TOTAL","2016","5046317","4759419","0.9999997898903648"
"TOTAL","TOTAL","2017","5046317","4945868","0.9999997978110621"
"TOTAL","TOTAL","2018","5046317","5068063","0.9999998026859961"
"TOTAL","TOTAL","2019","5046317","5164471","0.9999998063693636"
"TOTAL","TOTAL","2020","5046317","5031767","0.9999998012626973"
"TOTAL","TOTAL","2021","5046317","5094288","0.9999998037017531"
"TOTAL","TOTAL","2022","5046317","5209493","0.9999998080427773"
"TOTAL","TOTAL","2023","5046317","5364938","0.9999998136045909"
"TOTAL","TOTAL","2024","5046317","5453155","0.9999998166199536"
"TOTAL","TOTAL","2008","5046317","1","1.981642853264499e-7"
"TOTAL","TOTAL","2009","5046317","1","2.0945636856277743e-7"
"TOTAL","TOTAL","2010","5046317","1","2.285168456905722e-7"
"TOTAL","TOTAL","2011","5046317","1","2.2995166416019354e-7"
"TOTAL","TOTAL","2012","5046317","1","2.2507993713967516e-7"
"TOTAL","TOTAL","2013","5046317","1","2.2504503713805725e-7"
"TOTAL","TOTAL","2014","5046317","1","2.2184114842725717e-7"
"TOTAL","TOTAL","2015","5046317","1","2.1685407195565075e-7"
"TOTAL","TOTAL","2016","5046317","1","2.1010963520765136e-7"
"TOTAL","TOTAL","2017","5046317","1","2.0218893787926853e-7"
"TOTAL","TOTAL","2018","5046317","1","1.9731400392733794e-7"
"TOTAL","TOTAL","2019","5046317","1","1.936306363941948e-7"
"TOTAL","TOTAL","2020","5046317","1","1.9873730267373218e-7"
"TOTAL","TOTAL","2021","5046317","1","1.9629824691924623e-7"
"TOTAL","TOTAL","2022","5046317","1","1.91957222716832e-7"
"TOTAL","TOTAL","2023","5046317","1","1.8639540915563065e-7"
"TOTAL","TOTAL","2024","5046317","1","1.833800463438053e-7"
"TOTAL","Bihor","2008","167334","167334","0.9999940239639047"
"TOTAL","Bihor","2009","167334","159047","0.99999371258991"
"TOTAL","Bihor","2010","167334","146551","0.9999931764834326"
"TOTAL","Bihor","2011","167334","144475","0.9999930784351726"
"TOTAL","Bihor","2012","167334","143590","0.9999930357752227"
"TOTAL","Bihor","2013","167334","145910","0.9999931465071173"
"TOTAL","Bihor","2014","167334","150333","0.9999933481447976"
"TOTAL","Bihor","2015","167334","153529","0.9999934866149938"
"TOTAL","Bihor","2016","167334","159331","0.9999937237968518"
"TOTAL","Bihor","2017","167334","160665","0.9999937759077838"
"TOTAL","Bihor","2018","167334","162820","0.9999938582860933"
"TOTAL","Bihor","2019","167334","165185","0.9999939462182025"
"TOTAL","Bihor","2020","167334","158613","0.9999936953862837"
