"?""County""",CountyCode,Year,Total,Male,Female
Bihor,5,2000,1.2,1,1.5
Bihor,5,2001,1.2,1,1.5
Bihor,5,2002,1.2,1,1.5
Bihor,5,2003,1.2,1,1.5
Bihor,5,2004,1.2,1,1.5
Bihor,5,2005,1.2,1,1.5
Bihor,5,2006,1.2,1,1.5
Bihor,5,2007,1.2,1,1.5
Bihor,5,2008,1.2,1,1.5
Bihor,5,2009,1.2,1,1.5
Bihor,5,2010,1.2,1,1.5
Bihor,5,2011,1.2,1,1.5
Bihor,5,2012,1.2,1,1.5
Bihor,5,2013,1.2,1,1.5
Bihor,5,2014,1.2,1,1.5
Bihor,5,2015,1.2,1,1.5
Bihor,5,2016,1.2,1,1.5
Bihor,5,2017,1.2,1,1.5
Bihor,5,2018,1.2,1,1.5
Bihor,5,2019,1.2,1,1.5
Bihor,5,2020,1.2,1,1.5
Bihor,5,2021,1.2,1,1.5
Bihor,5,2022,1.2,1,1.5
Bistrita-Nasaud,6,2000,3.2,2.8,3.8
Bistrita-Nasaud,6,2001,3.2,2.8,3.8
Bistrita-Nasaud,6,2002,3.2,2.8,3.8
Bistrita-Nasaud,6,2003,3.2,2.8,3.8
Bistrita-Nasaud,6,2004,3.2,2.8,3.8
Bistrita-Nasaud,6,2005,3.2,2.8,3.8
Bistrita-Nasaud,6,2006,3.2,2.8,3.8
Bistrita-Nasaud,6,2007,3.2,2.8,3.8
Bistrita-Nasaud,6,2008,3.2,2.8,3.8
Bistrita-Nasaud,6,2009,3.2,2.8,3.8
Bistrita-Nasaud,6,2010,3.2,2.8,3.8
Bistrita-Nasaud,6,2011,3.2,2.8,3.8
Bistrita-Nasaud,6,2012,3.2,2.8,3.8
Bistrita-Nasaud,6,2013,3.2,2.8,3.8
Bistrita-Nasaud,6,2014,3.2,2.8,3.8
Bistrita-Nasaud,6,2015,3.2,2.8,3.8
Bistrita-Nasaud,6,2016,3.2,2.8,3.8
Bistrita-Nasaud,6,2017,3.2,2.8,3.8
Bistrita-Nasaud,6,2018,3.2,2.8,3.8
Bistrita-Nasaud,6,2019,3.2,2.8,3.8
Bistrita-Nasaud,6,2020,3.2,2.8,3.8
Bistrita-Nasaud,6,2021,3.2,2.8,3.8
Bistrita-Nasaud,6,2022,3.2,2.8,3.8
Cluj,14,2000,1.2,1.1,1.4
Cluj,14,2001,1.2,1.1,1.4
Cluj,14,2002,1.2,1.1,1.4
Cluj,14,2003,1.2,1.1,1.4
Cluj,14,2004,1.2,1.1,1.4
Cluj,14,2005,1.2,1.1,1.4
Cluj,14,2006,1.2,1.1,1.4
Cluj,14,2007,1.2,1.1,1.4
Cluj,14,2008,1.2,1.1,1.4
Cluj,14,2009,1.2,1.1,1.4
Cluj,14,2010,1.2,1.1,1.4
Cluj,14,2011,1.2,1.1,1.4
Cluj,14,2012,1.2,1.1,1.4
Cluj,14,2013,1.2,1.1,1.4
Cluj,14,2014,1.2,1.1,1.4
Cluj,14,2015,1.2,1.1,1.4
Cluj,14,2016,1.2,1.1,1.4
Cluj,14,2017,1.2,1.1,1.4
Cluj,14,2018,1.2,1.1,1.4
Cluj,14,2019,1.2,1.1,1.4
Cluj,14,2020,1.2,1.1,1.4
Cluj,14,2021,1.2,1.1,1.4
Cluj,14,2022,1.2,1.1,1.4
Maramures,27,2000,1.9,1.7,2.2
Maramures,27,2001,1.9,1.7,2.2
Maramures,27,2002,1.9,1.7,2.2
Maramures,27,2003,1.9,1.7,2.2
Maramures,27,2004,1.9,1.7,2.2
Maramures,27,2005,1.9,1.7,2.2
Maramures,27,2006,1.9,1.7,2.2
Maramures,27,2007,1.9,1.7,2.2
Maramures,27,2008,1.9,1.7,2.2
Maramures,27,2009,1.9,1.7,2.2
Maramures,27,2010,1.9,1.7,2.2
Maramures,27,2011,1.9,1.7,2.2
Maramures,27,2012,1.9,1.7,2.2
Maramures,27,2013,1.9,1.7,2.2
Maramures,27,2014,1.9,1.7,2.2
Maramures,27,2015,1.9,1.7,2.2
Maramures,27,2016,1.9,1.7,2.2
Maramures,27,2017,1.9,1.7,2.2
Maramures,27,2018,1.9,1.7,2.2
Maramures,27,2019,1.9,1.7,2.2
Maramures,27,2020,1.9,1.7,2.2
Maramures,27,2021,1.9,1.7,2.2
Maramures,27,2022,1.9,1.7,2.2
Satu Mare,34,2000,3.8,3.9,3.6
Satu Mare,34,2001,3.8,3.9,3.6
Satu Mare,34,2002,3.8,3.9,3.6
Satu Mare,34,2003,3.8,3.9,3.6
Satu Mare,34,2004,3.8,3.9,3.6
Satu Mare,34,2005,3.8,3.9,3.6
Satu Mare,34,2006,3.8,3.9,3.6
Satu Mare,34,2007,3.8,3.9,3.6
Satu Mare,34,2008,3.8,3.9,3.6
Satu Mare,34,2009,3.8,3.9,3.6
Satu Mare,34,2010,3.8,3.9,3.6
Satu Mare,34,2011,3.8,3.9,3.6
Satu Mare,34,2012,3.8,3.9,3.6
Satu Mare,34,2013,3.8,3.9,3.6
Satu Mare,34,2014,3.8,3.9,3.6
Satu Mare,34,2015,3.8,3.9,3.6
Satu Mare,34,2016,3.8,3.9,3.6
Satu Mare,34,2017,3.8,3.9,3.6
Satu Mare,34,2018,3.8,3.9,3.6
Satu Mare,34,2019,3.8,3.9,3.6
Satu Mare,34,2020,3.8,3.9,3.6
Satu Mare,34,2021,3.8,3.9,3.6
Satu Mare,34,2022,3.8,3.9,3.6
Salaj,33,2000,5,5,5
Salaj,33,2001,5,5,5
Salaj,33,2002,5,5,5
Salaj,33,2003,5,5,5
Salaj,33,2004,5,5,5
Salaj,33,2005,5,5,5
Salaj,33,2006,5,5,5
Salaj,33,2007,5,5,5
Salaj,33,2008,5,5,5
Salaj,33,2009,5,5,5
Salaj,33,2010,5,5,5
Salaj,33,2011,5,5,5
Salaj,33,2012,5,5,5
Salaj,33,2013,5,5,5
Salaj,33,2014,5,5,5
Salaj,33,2015,5,5,5
Salaj,33,2016,5,5,5
Salaj,33,2017,5,5,5
Salaj,33,2018,5,5,5
Salaj,33,2019,5,5,5
Salaj,33,2020,5,5,5
Salaj,33,2021,5,5,5
Salaj,33,2022,5,5,5
Alba,1,2000,3.7,3.6,3.8
Alba,1,2001,3.7,3.6,3.8
Alba,1,2002,3.7,3.6,3.8
Alba,1,2003,3.7,3.6,3.8
Alba,1,2004,3.7,3.6,3.8
Alba,1,2005,3.7,3.6,3.8
Alba,1,2006,3.7,3.6,3.8
Alba,1,2007,3.7,3.6,3.8
Alba,1,2008,3.7,3.6,3.8
Alba,1,2009,3.7,3.6,3.8
Alba,1,2010,3.7,3.6,3.8
Alba,1,2011,3.7,3.6,3.8
Alba,1,2012,3.7,3.6,3.8
Alba,1,2013,3.7,3.6,3.8
Alba,1,2014,3.7,3.6,3.8
Alba,1,2015,3.7,3.6,3.8
Alba,1,2016,3.7,3.6,3.8
Alba,1,2017,3.7,3.6,3.8
Alba,1,2018,3.7,3.6,3.8
Alba,1,2019,3.7,3.6,3.8
Alba,1,2020,3.7,3.6,3.8
Alba,1,2021,3.7,3.6,3.8
