"County","CountyCode","Year","Total","Male","Female"
"Alba","1","2008","7.1","7.1","7"
"Alba","1","2009","12.5","13.8","11.1"
"Alba","1","2010","10","10.9","9.1"
"Alba","1","2011","7.7","8.4","7"
"Alba","1","2012","8.4","8.8","7.9"
"Alba","1","2013","10.2","10.1","10.3"
"Alba","1","2014","7.3","7.7","6.8"
"Alba","1","2015","5.6","5.8","5.4"
"Alba","1","2016","5.1","5.3","4.8"
"Alba","1","2017","3.7","3.8","3.5"
"Alba","1","2018","3.4","3.4","3.3"
"Alba","1","2019","3.1","3.1","3.1"
"Alba","1","2020","3.8","3.6","3.9"
"Alba","1","2021","3.3","3.3","3.4"
"Alba","1","2022","3.7","3.6","3.8"
"Alba","1","2023","3.6","3.3","3.9"
"Alba","1","2024","3.5","3.3","3.8"
"Arad","2","2008","3.1","2.9","3.3"
"Arad","2","2009","6.8","7.1","6.5"
"Arad","2","2010","5.2","5.5","4.9"
"Arad","2","2011","3.5","3.6","3.3"
"Arad","2","2012","3.6","3.8","3.5"
"Arad","2","2013","3.2","3.2","3.2"
"Arad","2","2014","2.8","2.8","2.8"
"Arad","2","2015","2.4","2.2","2.6"
"Arad","2","2016","2.3","2.3","2.3"
"Arad","2","2017","1.5","1.5","1.6"
"Arad","2","2018","1.4","1.2","1.5"
"Arad","2","2019","1.2","1.1","1.4"
"Arad","2","2020","2.2","1.7","2.7"
"Arad","2","2021","1.6","1.3","1.9"
"Arad","2","2022","1.1","1","1.3"
"Arad","2","2023","1.1","0.9","1.4"
"Arad","2","2024","1.8","1.6","2"
"Arges","3","2008","4.9","4.7","5.1"
"Arges","3","2009","9.5","10.1","8.8"
"Arges","3","2010","7.6","8","7"
"Arges","3","2011","5.7","6.1","5.2"
"Arges","3","2012","6.1","6.6","5.6"
"Arges","3","2013","7","7.5","6.4"
"Arges","3","2014","5.9","6.4","5.4"
"Arges","3","2015","5.1","5.6","4.5"
"Arges","3","2016","4.7","5.3","4.1"
