Date (formatted),Credit to households,Credit to households; RON,Credit to households; EUR,Credit to households; other currencies,Credit to households; consumer,Credit to households; consumer; RON,Credit to households; consumer; EUR,Credit to households; consumer; other currencies,Credit to households; housing loans,Credit to households; lending for house purchase; RON,Credit to households; lending for house purchase; EUR,Credit to households; lending for house purchase; other currencies,Credit to households; other lending,Credit to households; other lending; RON,Credit to households; other lending; EUR,Credit to households; other lending; other currencies,Loans to non-financial corporations,Loans to non-financial corporations; RON,Loans to non-financial corporations; RON; with maturity of up to and including one year,Loans to non-financial corporations; RON; with maturity longer than one year and of up to and including five years,Loans to non-financial corporations; RON; with maturity longer than five years,Loans to non-financial corporations; EUR,Loans to non-financial corporations; EUR; with maturity of up to and including one year,Loans to non-financial corporations; EUR; with maturity longer than one year and of up to and including five years,Loans to non-financial corporations; EUR; with maturity longer than five years,Loans to non-financial corporations; other currencies,Loans to non-financial corporations; other currencies; with maturity of up to and including one year,Loans to non-financial corporations; other currencies; with maturity longer than one year and of up to and including five years,Loans to non-financial corporations; other currencies; with maturity longer than five years,Loans to financial corporations other than MFIs,Loans to financial corporations other than MFIs; insurance corporations,Loans to financial corporations other than MFIs; insurance corporations; with maturity of up to and including one year,Loans to financial corporations other than MFIs; other financial intermediaries,Loans to financial corporations other than MFIs; other financial intermediaries; with maturity of up to and including one year,Loans to general government,Loans to general government; central,Loans to general government; local,Loans to general government; social security funds,Loans to non-residents
2007-01,40240893,23725049,15163179,1352665,31645622,22243010,8813737,588875,7902876,1123327,6025786,753763,692394,358712,323656,10027,48811753,22666379,12553299,7174470,2938610,22867117,8154964,7284592,7427561,3278257,1662012,816826,799419,3442250,33053,10369,3409196,526202,2637906,1139523,1498369,13,38221780
2007-02,41375402,24084359,15840419,1450624,32506671,22579455,9350054,577162,8169765,1123287,6186245,860233,698967,381617,304120,13230,50531568,24093542,13519000,7464971,3109572,23136484,8196742,7319423,7620319,3301542,1734332,775099,792111,3574723,31764,10460,3542959,617061,2651808,1157412,1494384,13,36593842
2007-03,43251370,24968798,16691575,1590998,34099096,23384279,9976090,738727,8403159,1156040,6407731,839388,749116,428479,307754,12883,52683532,25408998,14015589,8007540,3385869,24048163,8357297,7651209,8039658,3226371,1691287,753149,781935,3029264,25183,10434,3004081,417752,2694865,1177960,1516892,13,39038382
2007-04,44760660,25778054,17119205,1863401,35251272,24142503,10173836,934933,8720655,1187551,6617986,915118,788733,447999,327383,13351,54681245,26492512,14516296,8316374,3659842,25097745,8741428,7984222,8372095,3090988,1628743,706868,755377,3164209,42181,10524,3122027,507882,2729443,1177357,1552074,13,22122591
2007-05,46841742,26946294,17697564,2197884,37036157,25254537,10536786,1244834,8881262,1194314,6772337,914611,924324,497443,388442,38439,56695934,27632164,15154489,8471763,4005912,25965228,8853081,8374526,8737621,3098542,1588137,737975,772430,2962257,32447,629,2929810,518941,2720703,1084324,1636367,12,18511372
2007-06,48997569,27884629,18485462,2627478,38907194,26151449,11231214,1524531,9083692,1213773,6852244,1017675,1006683,519407,402004,85272,57236272,28455334,15610454,8535154,4309726,25721867,8812901,8115657,8793310,3059071,1593344,711907,753820,2797499,32438,936,2765060,550720,2810082,1061085,1748997,0,19857478
2007-07,52544077,28898741,20517345,3127991,41615056,27090620,12675575,1848861,9752395,1236989,7362994,1152411,1176626,571131,478776,126719,59216497,29010876,15760078,8606525,4644273,27012629,9101100,8651833,9259696,3192993,1715071,739068,738854,2900884,35088,3617,2865795,589278,2883363,1056737,1826627,0,21786581
2007-08,57024372,30027141,23227593,3769638,44904463,28150436,14484765,2269261,10782899,1263417,8193667,1325816,1337010,613288,549161,174562,61989584,29230024,15358986,8914513,4956525,29200813,9819874,9326978,10053960,3558748,1920769,854559,783420,3081819,32562,1029,3049257,663350,3011267,1073011,1938256,0,23098186
2007-09,60478029,31007771,25168113,4302146,47371152,29034488,15713306,2623358,11615083,1312191,8850365,1452527,1491795,661092,604442,226261,65446386,30612325,16150941,9165625,5295759,31253997,10608197,9851962,10793838,3580064,1972567,858367,749130,3137753,32090,432,3105663,672621,3105005,1065455,2039547,2,21716085
2007-10,63257880,32079591,26427229,4751059,49601228,30002317,16585236,3013676,12009313,1367280,9186396,1455637,1647338,709994,655598,281746,66444769,31206929,16304345,9179337,5723247,31690653,10767981,9679860,11242812,3547187,1982904,818874,745409,3616907,49201,17226,3567706,1059610,3260075,1104747,2155327,0,21874389
2007-11,67816586,32925393,29204000,5687193,52733700,30749069,18362987,3621644,13180598,1414890,10073570,1692137,1902288,761434,767443,373411,69798366,31950743,16556573,9317565,6076605,34102409,11461561,10433278,12207569,3745214,2015613,908762,820840,3502638,37834,5198,3464805,1007938,3440582,1060212,2380370,0,21818848
2007-12,71507708,33572753,31595285,6339670,55108014,31270246,19855423,3982345,14193216,1462248,10838436,1892532,2206478,840259,901425,464793,72955437,32576846,16723604,9378441,6474801,36646054,11836063,11417618,13392373,3732537,1911255,970443,850840,3717598,34527,626,3683070,1130474,3642118,1045993,2596125,0,23805928
2008-01,74146014,33944213,33086068,7115732,56817883,31567771,20775953,4474159,14901903,1475451,11329579,2096874,2426228,900992,980537,544699,76408434,33892070,17589835,9677548,6624688,38540090,12244953,12146570,14148567,3976274,1970744,1104788,900742,3713058,34386,692,3678671,1076634,4382101,1783690,2598411,0,23516382
2008-02,76672985,34778445,33990850,7903690,58465316,32270018,21208339,4986959,15493454,1501820,11713058,2278576,2714216,1006608,1069453,638155,77831507,35047136,17734831,10264173,7048132,38866319,12346265,12138732,14381323,3918052,1873121,1114855,930076,3836400,42610,7641,3793790,1171311,4327487,1705929,2621558,0,19731198
2008-03,79641977,35711999,35200024,8729954,60487292,33056344,21901923,5529025,16057535,1534513,12067099,2455922,3097150,1121142,1231002,745006,81092871,36767722,19037329,10309766,7420628,40352768,13075501,12511070,14766198,3972381,1863388,1136959,972034,3871928,34444,744,3837485,1201066,4389620,1686882,2702738,0,19500883
