Date,County Code,County Name,Number of Transactions,Legend Name EN,Legend Name HU,Legend Name RO
2019-12,1,ALBA,323,Others,Egyéb,Alti
2019-12,2,ARAD,1203,Others,Egyéb,Alti
2019-12,3,ARGES,1377,Others,Egyéb,Alti
2019-12,4,BACAU,478,Others,Egyéb,Alti
2019-12,5,BIHOR,1390,Others,Egyéb,Alti
2019-12,6,BISTRITA NASAUD,734,Others,Egyéb,Alti
2019-12,7,BOTOSANI,825,Others,Egyéb,Alti
2019-12,8,BRAILA,649,Others,Egyéb,Alti
2019-12,9,BRASOV,3348,Brasov,Brassó,Brasov
2019-12,10,BUCURESTI,9822,Bucharest,Bukarest,Bucuresti
2019-12,11,BUZAU,612,Others,Egyéb,Alti
2019-12,12,CALARASI,257,Others,Egyéb,Alti
2019-12,13,CARAS SEVERIN,301,Others,Egyéb,Alti
2019-12,14,CLUJ,2364,Cluj,Kolozs,Cluj
2019-12,15,CONSTANTA,2053,Constanta,Konstanca,Constanta
2019-12,16,COVASNA,266,Others,Egyéb,Alti
2019-12,17,DAMBOVITA,1111,Others,Egyéb,Alti
2019-12,18,DOLJ,1512,Others,Egyéb,Alti
2019-12,19,GALATI,812,Others,Egyéb,Alti
2019-12,20,GIURGIU,415,Others,Egyéb,Alti
2019-12,21,GORJ,385,Others,Egyéb,Alti
2019-12,22,HARGHITA,703,Others,Egyéb,Alti
2019-12,23,HUNEDOARA,474,Others,Egyéb,Alti
2019-12,24,IALOMITA,518,Others,Egyéb,Alti
2019-12,25,IASI,1979,Others,Egyéb,Alti
2019-12,26,ILFOV,4181,Ilfov,Ilfov,Ilfov
2019-12,27,MARAMURES,867,Others,Egyéb,Alti
2019-12,28,MEHEDINTI,442,Others,Egyéb,Alti
2019-12,29,MURES,943,Others,Egyéb,Alti
2019-12,30,NEAMT,653,Others,Egyéb,Alti
2019-12,31,OLT,135,Others,Egyéb,Alti
2019-12,32,PRAHOVA,1070,Others,Egyéb,Alti
2019-12,33,SALAJ,298,Others,Egyéb,Alti
2019-12,34,SATU MARE,947,Others,Egyéb,Alti
2019-12,35,SIBIU,651,Others,Egyéb,Alti
2019-12,36,SUCEAVA,1209,Others,Egyéb,Alti
2019-12,37,TELEORMAN,505,Others,Egyéb,Alti
2019-12,38,TIMIS,2805,Timis,Temes,Timis
2019-12,39,TULCEA,435,Others,Egyéb,Alti
2019-12,40,VALCEA,337,Others,Egyéb,Alti
2019-12,41,VASLUI,313,Others,Egyéb,Alti
2019-12,42,VRANCEA,788,Others,Egyéb,Alti
2020-01,1,ALBA,246,Others,Egyéb,Alti
2020-01,2,ARAD,510,Others,Egyéb,Alti
2020-01,3,ARGES,663,Others,Egyéb,Alti
2020-01,4,BACAU,452,Others,Egyéb,Alti
2020-01,5,BIHOR,820,Others,Egyéb,Alti
2020-01,6,BISTRITA NASAUD,487,Others,Egyéb,Alti
2020-01,7,BOTOSANI,597,Others,Egyéb,Alti
2020-01,8,BRAILA,605,Others,Egyéb,Alti
2020-01,9,BRASOV,1401,Brasov,Brassó,Brasov
2020-01,10,BUCURESTI,5229,Bucharest,Bukarest,Bucuresti
2020-01,11,BUZAU,404,Others,Egyéb,Alti
2020-01,12,CALARASI,2141,Others,Egyéb,Alti
2020-01,13,CARAS SEVERIN,528,Others,Egyéb,Alti
2020-01,14,CLUJ,1633,Cluj,Kolozs,Cluj
2020-01,15,CONSTANTA,1045,Constanta,Konstanca,Constanta
2020-01,16,COVASNA,278,Others,Egyéb,Alti
2020-01,17,DAMBOVITA,760,Others,Egyéb,Alti
2020-01,18,DOLJ,766,Others,Egyéb,Alti
2020-01,19,GALATI,702,Others,Egyéb,Alti
2020-01,20,GIURGIU,267,Others,Egyéb,Alti
2020-01,21,GORJ,298,Others,Egyéb,Alti
2020-01,22,HARGHITA,461,Others,Egyéb,Alti
2020-01,23,HUNEDOARA,364,Others,Egyéb,Alti
2020-01,24,IALOMITA,221,Others,Egyéb,Alti
2020-01,25,IASI,1243,Others,Egyéb,Alti
2020-01,26,ILFOV,4020,Ilfov,Ilfov,Ilfov
2020-01,27,MARAMURES,796,Others,Egyéb,Alti
2020-01,28,MEHEDINTI,257,Others,Egyéb,Alti
2020-01,29,MURES,708,Others,Egyéb,Alti
2020-01,30,NEAMT,513,Others,Egyéb,Alti
2020-01,31,OLT,54,Others,Egyéb,Alti
2020-01,32,PRAHOVA,727,Others,Egyéb,Alti
2020-01,33,SALAJ,148,Others,Egyéb,Alti
2020-01,34,SATU MARE,804,Others,Egyéb,Alti
2020-01,35,SIBIU,482,Others,Egyéb,Alti
2020-01,36,SUCEAVA,1008,Others,Egyéb,Alti
2020-01,37,TELEORMAN,346,Others,Egyéb,Alti
2020-01,38,TIMIS,1827,Timis,Temes,Timis
2020-01,39,TULCEA,221,Others,Egyéb,Alti
2020-01,40,VALCEA,337,Others,Egyéb,Alti
2020-01,41,VASLUI,238,Others,Egyéb,Alti
2020-01,42,VRANCEA,624,Others,Egyéb,Alti
2020-02,1,ALBA,415,Others,Egyéb,Alti
2020-02,2,ARAD,1151,Others,Egyéb,Alti
2020-02,3,ARGES,1043,Others,Egyéb,Alti
2020-02,4,BACAU,584,Others,Egyéb,Alti
2020-02,5,BIHOR,1278,Others,Egyéb,Alti
2020-02,6,BISTRITA NASAUD,696,Others,Egyéb,Alti
2020-02,7,BOTOSANI,696,Others,Egyéb,Alti
2020-02,8,BRAILA,674,Others,Egyéb,Alti
2020-02,9,BRASOV,2452,Brasov,Brassó,Brasov
2020-02,10,BUCURESTI,9107,Bucharest,Bukarest,Bucuresti
2020-02,11,BUZAU,490,Others,Egyéb,Alti
2020-02,12,CALARASI,393,Others,Egyéb,Alti
2020-02,13,CARAS SEVERIN,370,Others,Egyéb,Alti
2020-02,14,CLUJ,3625,Cluj,Kolozs,Cluj
2020-02,15,CONSTANTA,1485,Constanta,Konstanca,Constanta
2020-02,16,COVASNA,290,Others,Egyéb,Alti
2020-02,17,DAMBOVITA,1048,Others,Egyéb,Alti
2020-02,18,DOLJ,1480,Others,Egyéb,Alti
2020-02,19,GALATI,907,Others,Egyéb,Alti
2020-02,20,GIURGIU,484,Others,Egyéb,Alti
2020-02,21,GORJ,529,Others,Egyéb,Alti
2020-02,22,HARGHITA,684,Others,Egyéb,Alti
2020-02,23,HUNEDOARA,598,Others,Egyéb,Alti
2020-02,24,IALOMITA,471,Others,Egyéb,Alti
2020-02,25,IASI,1453,Others,Egyéb,Alti
2020-02,26,ILFOV,4881,Ilfov,Ilfov,Ilfov
2020-02,27,MARAMURES,928,Others,Egyéb,Alti
2020-02,28,MEHEDINTI,414,Others,Egyéb,Alti
2020-02,29,MURES,1246,Others,Egyéb,Alti
2020-02,30,NEAMT,611,Others,Egyéb,Alti
2020-02,31,OLT,151,Others,Egyéb,Alti
2020-02,32,PRAHOVA,1150,Others,Egyéb,Alti
2020-02,33,SALAJ,221,Others,Egyéb,Alti
2020-02,34,SATU MARE,927,Others,Egyéb,Alti
2020-02,35,SIBIU,602,Others,Egyéb,Alti
2020-02,36,SUCEAVA,1074,Others,Egyéb,Alti
2020-02,37,TELEORMAN,565,Others,Egyéb,Alti
2020-02,38,TIMIS,2460,Timis,Temes,Timis
2020-02,39,TULCEA,550,Others,Egyéb,Alti
2020-02,40,VALCEA,490,Others,Egyéb,Alti
2020-02,41,VASLUI,289,Others,Egyéb,Alti
2020-02,42,VRANCEA,609,Others,Egyéb,Alti
2020-03,1,ALBA,472,Others,Egyéb,Alti
2020-03,2,ARAD,884,Others,Egyéb,Alti
2020-03,3,ARGES,1136,Others,Egyéb,Alti
2020-03,4,BACAU,445,Others,Egyéb,Alti
2020-03,5,BIHOR,1308,Others,Egyéb,Alti
2020-03,6,BISTRITA NASAUD,414,Others,Egyéb,Alti
2020-03,7,BOTOSANI,757,Others,Egyéb,Alti
2020-03,8,BRAILA,523,Others,Egyéb,Alti
2020-03,9,BRASOV,1937,Brasov,Brassó,Brasov
2020-03,10,BUCURESTI,10069,Bucharest,Bukarest,Bucuresti
2020-03,11,BUZAU,641,Others,Egyéb,Alti
2020-03,12,CALARASI,601,Others,Egyéb,Alti
2020-03,13,CARAS SEVERIN,299,Others,Egyéb,Alti
2020-03,14,CLUJ,2975,Cluj,Kolozs,Cluj
2020-03,15,CONSTANTA,1343,Constanta,Konstanca,Constanta
2020-03,16,COVASNA,419,Others,Egyéb,Alti
2020-03,17,DAMBOVITA,1135,Others,Egyéb,Alti
2020-03,18,DOLJ,1457,Others,Egyéb,Alti
2020-03,19,GALATI,994,Others,Egyéb,Alti
2020-03,20,GIURGIU,501,Others,Egyéb,Alti
2020-03,21,GORJ,397,Others,Egyéb,Alti
2020-03,22,HARGHITA,672,Others,Egyéb,Alti
2020-03,23,HUNEDOARA,537,Others,Egyéb,Alti
2020-03,24,IALOMITA,613,Others,Egyéb,Alti
2020-03,25,IASI,1513,Others,Egyéb,Alti
2020-03,26,ILFOV,3617,Ilfov,Ilfov,Ilfov
2020-03,27,MARAMURES,767,Others,Egyéb,Alti
2020-03,28,MEHEDINTI,458,Others,Egyéb,Alti
2020-03,29,MURES,1394,Others,Egyéb,Alti
2020-03,30,NEAMT,702,Others,Egyéb,Alti
2020-03,31,OLT,251,Others,Egyéb,Alti
2020-03,32,PRAHOVA,1093,Others,Egyéb,Alti
2020-03,33,SALAJ,378,Others,Egyéb,Alti
2020-03,34,SATU MARE,965,Others,Egyéb,Alti
2020-03,35,SIBIU,914,Others,Egyéb,Alti
2020-03,36,SUCEAVA,1149,Others,Egyéb,Alti
2020-03,37,TELEORMAN,363,Others,Egyéb,Alti
2020-03,38,TIMIS,2274,Timis,Temes,Timis
2020-03,39,TULCEA,586,Others,Egyéb,Alti
2020-03,40,VALCEA,348,Others,Egyéb,Alti
2020-03,41,VASLUI,264,Others,Egyéb,Alti
2020-03,42,VRANCEA,814,Others,Egyéb,Alti
2020-04,1,ALBA,244,Others,Egyéb,Alti
2020-04,2,ARAD,394,Others,Egyéb,Alti
2020-04,3,ARGES,400,Others,Egyéb,Alti
2020-04,4,BACAU,193,Others,Egyéb,Alti
2020-04,5,BIHOR,689,Others,Egyéb,Alti
2020-04,6,BISTRITA NASAUD,120,Others,Egyéb,Alti
2020-04,7,BOTOSANI,238,Others,Egyéb,Alti
2020-04,8,BRAILA,455,Others,Egyéb,Alti
2020-04,9,BRASOV,575,Brasov,Brassó,Brasov
2020-04,10,BUCURESTI,6925,Bucharest,Bukarest,Bucuresti
2020-04,11,BUZAU,288,Others,Egyéb,Alti
2020-04,12,CALARASI,251,Others,Egyéb,Alti
2020-04,13,CARAS SEVERIN,193,Others,Egyéb,Alti
2020-04,14,CLUJ,2013,Cluj,Kolozs,Cluj
2020-04,15,CONSTANTA,1359,Constanta,Konstanca,Constanta
2020-04,16,COVASNA,91,Others,Egyéb,Alti
2020-04,17,DAMBOVITA,278,Others,Egyéb,Alti
2020-04,18,DOLJ,868,Others,Egyéb,Alti
2020-04,19,GALATI,507,Others,Egyéb,Alti
2020-04,20,GIURGIU,250,Others,Egyéb,Alti
2020-04,21,GORJ,202,Others,Egyéb,Alti
2020-04,22,HARGHITA,175,Others,Egyéb,Alti
2020-04,23,HUNEDOARA,211,Others,Egyéb,Alti
2020-04,24,IALOMITA,332,Others,Egyéb,Alti
2020-04,25,IASI,1023,Others,Egyéb,Alti
2020-04,26,ILFOV,3634,Ilfov,Ilfov,Ilfov
2020-04,27,MARAMURES,328,Others,Egyéb,Alti
2020-04,28,MEHEDINTI,150,Others,Egyéb,Alti
2020-04,29,MURES,487,Others,Egyéb,Alti
2020-04,30,NEAMT,208,Others,Egyéb,Alti
2020-04,31,OLT,107,Others,Egyéb,Alti
2020-04,32,PRAHOVA,478,Others,Egyéb,Alti
2020-04,33,SALAJ,102,Others,Egyéb,Alti
2020-04,34,SATU MARE,175,Others,Egyéb,Alti
2020-04,35,SIBIU,623,Others,Egyéb,Alti
2020-04,36,SUCEAVA,315,Others,Egyéb,Alti
2020-04,37,TELEORMAN,247,Others,Egyéb,Alti
2020-04,38,TIMIS,1034,Timis,Temes,Timis
2020-04,39,TULCEA,384,Others,Egyéb,Alti
2020-04,40,VALCEA,156,Others,Egyéb,Alti
2020-04,41,VASLUI,94,Others,Egyéb,Alti
2020-04,42,VRANCEA,225,Others,Egyéb,Alti
2020-05,1,ALBA,577,Others,Egyéb,Alti
2020-05,2,ARAD,530,Others,Egyéb,Alti
2020-05,3,ARGES,638,Others,Egyéb,Alti
2020-05,4,BACAU,312,Others,Egyéb,Alti
2020-05,5,BIHOR,614,Others,Egyéb,Alti
2020-05,6,BISTRITA NASAUD,359,Others,Egyéb,Alti
2020-05,7,BOTOSANI,477,Others,Egyéb,Alti
2020-05,8,BRAILA,557,Others,Egyéb,Alti
2020-05,9,BRASOV,1543,Brasov,Brassó,Brasov
2020-05,10,BUCURESTI,5266,Bucharest,Bukarest,Bucuresti
2020-05,11,BUZAU,439,Others,Egyéb,Alti
2020-05,12,CALARASI,413,Others,Egyéb,Alti
2020-05,13,CARAS SEVERIN,293,Others,Egyéb,Alti
2020-05,14,CLUJ,2022,Cluj,Kolozs,Cluj
2020-05,15,CONSTANTA,1952,Constanta,Konstanca,Constanta
2020-05,16,COVASNA,144,Others,Egyéb,Alti
2020-05,17,DAMBOVITA,440,Others,Egyéb,Alti
2020-05,18,DOLJ,1018,Others,Egyéb,Alti
2020-05,19,GALATI,488,Others,Egyéb,Alti
2020-05,20,GIURGIU,404,Others,Egyéb,Alti
2020-05,21,GORJ,310,Others,Egyéb,Alti
2020-05,22,HARGHITA,369,Others,Egyéb,Alti
2020-05,23,HUNEDOARA,234,Others,Egyéb,Alti
2020-05,24,IALOMITA,295,Others,Egyéb,Alti
2020-05,25,IASI,764,Others,Egyéb,Alti
2020-05,26,ILFOV,3838,Ilfov,Ilfov,Ilfov
2020-05,27,MARAMURES,459,Others,Egyéb,Alti
2020-05,28,MEHEDINTI,267,Others,Egyéb,Alti
2020-05,29,MURES,866,Others,Egyéb,Alti
2020-05,30,NEAMT,341,Others,Egyéb,Alti
2020-05,31,OLT,381,Others,Egyéb,Alti
2020-05,32,PRAHOVA,763,Others,Egyéb,Alti
2020-05,33,SALAJ,133,Others,Egyéb,Alti
2020-05,34,SATU MARE,597,Others,Egyéb,Alti
2020-05,35,SIBIU,587,Others,Egyéb,Alti
2020-05,36,SUCEAVA,517,Others,Egyéb,Alti
2020-05,37,TELEORMAN,300,Others,Egyéb,Alti
2020-05,38,TIMIS,1350,Timis,Temes,Timis
2020-05,39,TULCEA,377,Others,Egyéb,Alti
2020-05,40,VALCEA,249,Others,Egyéb,Alti
2020-05,41,VASLUI,239,Others,Egyéb,Alti
2020-05,42,VRANCEA,367,Others,Egyéb,Alti
2020-06,1,ALBA,498,Others,Egyéb,Alti
2020-06,2,ARAD,608,Others,Egyéb,Alti
2020-06,3,ARGES,676,Others,Egyéb,Alti
2020-06,4,BACAU,420,Others,Egyéb,Alti
2020-06,5,BIHOR,1266,Others,Egyéb,Alti
2020-06,6,BISTRITA NASAUD,327,Others,Egyéb,Alti
