Name,Date,Value
RO.INDU,1985-01,NA
RO.INDU,1985-02,NA
RO.INDU,1985-03,NA
RO.INDU,1985-04,NA
RO.INDU,1985-05,NA
RO.INDU,1985-06,NA
RO.INDU,1985-07,NA
RO.INDU,1985-08,NA
RO.INDU,1985-09,NA
RO.INDU,1985-10,NA
RO.INDU,1985-11,NA
RO.INDU,1985-12,NA
RO.INDU,1986-01,NA
RO.INDU,1986-02,NA
RO.INDU,1986-03,NA
RO.INDU,1986-04,NA
RO.INDU,1986-05,NA
RO.INDU,1986-06,NA
RO.INDU,1986-07,NA
RO.INDU,1986-08,NA
RO.INDU,1986-09,NA
RO.INDU,1986-10,NA
RO.INDU,1986-11,NA
RO.INDU,1986-12,NA
RO.INDU,1987-01,NA
RO.INDU,1987-02,NA
RO.INDU,1987-03,NA
RO.INDU,1987-04,NA
RO.INDU,1987-05,NA
RO.INDU,1987-06,NA
RO.INDU,1987-07,NA
RO.INDU,1987-08,NA
RO.INDU,1987-09,NA
RO.INDU,1987-10,NA
RO.INDU,1987-11,NA
RO.INDU,1987-12,NA
RO.INDU,1988-01,NA
RO.INDU,1988-02,NA
RO.INDU,1988-03,NA
RO.INDU,1988-04,NA
RO.INDU,1988-05,NA
RO.INDU,1988-06,NA
RO.INDU,1988-07,NA
RO.INDU,1988-08,NA
RO.INDU,1988-09,NA
RO.INDU,1988-10,NA
RO.INDU,1988-11,NA
RO.INDU,1988-12,NA
RO.INDU,1989-01,NA
RO.INDU,1989-02,NA
RO.INDU,1989-03,NA
RO.INDU,1989-04,NA
RO.INDU,1989-05,NA
RO.INDU,1989-06,NA
RO.INDU,1989-07,NA
RO.INDU,1989-08,NA
RO.INDU,1989-09,NA
RO.INDU,1989-10,NA
RO.INDU,1989-11,NA
RO.INDU,1989-12,NA
RO.INDU,1990-01,NA
RO.INDU,1990-02,NA
RO.INDU,1990-03,NA
RO.INDU,1990-04,NA
RO.INDU,1990-05,NA
RO.INDU,1990-06,NA
RO.INDU,1990-07,NA
RO.INDU,1990-08,NA
RO.INDU,1990-09,NA
RO.INDU,1990-10,NA
RO.INDU,1990-11,NA
RO.INDU,1990-12,NA
RO.INDU,1991-01,NA
RO.INDU,1991-02,NA
RO.INDU,1991-03,NA
RO.INDU,1991-04,NA
RO.INDU,1991-05,NA
RO.INDU,1991-06,NA
RO.INDU,1991-07,4.8
RO.INDU,1991-08,5.1
RO.INDU,1991-09,5.4
RO.INDU,1991-10,1.2
RO.INDU,1991-11,1.3
RO.INDU,1991-12,1.5
RO.INDU,1992-01,1
RO.INDU,1992-02,1.1
RO.INDU,1992-03,1.3
RO.INDU,1992-04,-3.5
RO.INDU,1992-05,-3.4
RO.INDU,1992-06,-3.3
RO.INDU,1992-07,-26.9
RO.INDU,1992-08,-26.6
RO.INDU,1992-09,-26.3
RO.INDU,1992-10,-19.4
RO.INDU,1992-11,-19.2
RO.INDU,1992-12,-19.1
RO.INDU,1993-01,-4.6
RO.INDU,1993-02,-4.5
RO.INDU,1993-03,-4.3
RO.INDU,1993-04,-9.6
RO.INDU,1993-05,-9.5
RO.INDU,1993-06,-9.4
RO.INDU,1993-07,-6.5
RO.INDU,1993-08,-6.2
RO.INDU,1993-09,-5.9
RO.INDU,1993-10,-7
RO.INDU,1993-11,-6.9
RO.INDU,1993-12,-6.7
