?"County","CountyCode","Year","Total","Male","Female"
"Total","Bihor","2000","4.6","3.1","3.2"
"Total","Bihor","2001","3.1","3.2","2.5"
"Total","Bihor","2002","3.2","2.5","2.1"
"Total","Bihor","2003","2.5","2.1","2.7"
"Total","Bihor","2004","2.1","2.7","2.7"
"Total","Bihor","2005","2.7","2.7","2.4"
"Total","Bihor","2006","2.7","2.4","3"
"Total","Bihor","2007","2.4","3","5.8"
"Total","Bihor","2008","3","5.8","5.9"
"Total","Bihor","2009","5.8","5.9","4.2"
"Total","Bihor","2010","5.9","4.2","4.2"
"Total","Bihor","2011","4.2","4.2","3.7"
"Total","Bihor","2012","4.2","3.7","3.7"
"Total","Bihor","2013","3.7","3.7","3.5"
"Total","Bihor","2014","3.7","3.5","3.1"
"Total","Bihor","2015","3.5","3.1","2.4"
"Total","Bihor","2016","3.1","2.4","1.5"
"Total","Bihor","2017","2.4","1.5","1.4"
"Total","Bihor","2018","1.5","1.4","2.3"
"Total","Bihor","2019","1.4","2.3","1.5"
"Total","Bihor","2020","2.3","1.5","1.2"
"Total","Bihor","2021","1.5","1.2","undefined"
"Total","Bihor","2022","1.2","undefined","undefined"
"Total","Bistrita-Nasaud","2000","12.7","11.2","10"
"Total","Bistrita-Nasaud","2001","11.2","10","7.5"
"Total","Bistrita-Nasaud","2002","10","7.5","6.4"
"Total","Bistrita-Nasaud","2003","7.5","6.4","4.3"
"Total","Bistrita-Nasaud","2004","6.4","4.3","3.2"
"Total","Bistrita-Nasaud","2005","4.3","3.2","2.4"
"Total","Bistrita-Nasaud","2006","3.2","2.4","2.7"
"Total","Bistrita-Nasaud","2007","2.4","2.7","8.2"
"Total","Bistrita-Nasaud","2008","2.7","8.2","6.4"
"Total","Bistrita-Nasaud","2009","8.2","6.4","4.9"
"Total","Bistrita-Nasaud","2010","6.4","4.9","4.8"
"Total","Bistrita-Nasaud","2011","4.9","4.8","4.9"
"Total","Bistrita-Nasaud","2012","4.8","4.9","4.5"
"Total","Bistrita-Nasaud","2013","4.9","4.5","3.5"
"Total","Bistrita-Nasaud","2014","4.5","3.5","3.7"
"Total","Bistrita-Nasaud","2015","3.5","3.7","3.1"
"Total","Bistrita-Nasaud","2016","3.7","3.1","3.1"
"Total","Bistrita-Nasaud","2017","3.1","3.1","2.6"
"Total","Bistrita-Nasaud","2018","3.1","2.6","3.4"
"Total","Bistrita-Nasaud","2019","2.6","3.4","3.5"
"Total","Bistrita-Nasaud","2020","3.4","3.5","3.2"
"Total","Bistrita-Nasaud","2021","3.5","3.2","undefined"
"Total","Bistrita-Nasaud","2022","3.2","undefined","undefined"
"Total","Cluj","2000","11.3","9.4","10"
"Total","Cluj","2001","9.4","10","7.6"
"Total","Cluj","2002","10","7.6","5.1"
"Total","Cluj","2003","7.6","5.1","4.4"
"Total","Cluj","2004","5.1","4.4","3.4"
"Total","Cluj","2005","4.4","3.4","3"
"Total","Cluj","2006","3.4","3","2.9"
"Total","Cluj","2007","3","2.9","6.3"
"Total","Cluj","2008","2.9","6.3","4.9"
"Total","Cluj","2009","6.3","4.9","3.8"
"Total","Cluj","2010","4.9","3.8","3.8"
"Total","Cluj","2011","3.8","3.8","3.5"
"Total","Cluj","2012","3.8","3.5","2.8"
"Total","Cluj","2013","3.5","2.8","2.3"
"Total","Cluj","2014","2.8","2.3","2.2"
"Total","Cluj","2015","2.3","2.2","2"
"Total","Cluj","2016","2.2","2","1.3"
"Total","Cluj","2017","2","1.3","1.2"
"Total","Cluj","2018","1.3","1.2","1.6"
"Total","Cluj","2019","1.2","1.6","1.3"
"Total","Cluj","2020","1.6","1.3","1.2"
"Total","Cluj","2021","1.3","1.2","undefined"
"Total","Cluj","2022","1.2","undefined","undefined"
"Total","Maramures","2000","9.2","6.9","6.5"
"Total","Maramures","2001","6.9","6.5","5.4"
"Total","Maramures","2002","6.5","5.4","4.6"
"Total","Maramures","2003","5.4","4.6","4.5"
"Total","Maramures","2004","4.6","4.5","4"
"Total","Maramures","2005","4.5","4","3.4"
"Total","Maramures","2006","4","3.4","3.7"
"Total","Maramures","2007","3.4","3.7","6.4"
"Total","Maramures","2008","3.7","6.4","6"
"Total","Maramures","2009","6.4","6","4.1"
"Total","Maramures","2010","6","4.1","4.1"
"Total","Maramures","2011","4.1","4.1","3.9"
"Total","Maramures","2012","4.1","3.9","3.5"
"Total","Maramures","2013","3.9","3.5","3.5"
"Total","Maramures","2014","3.5","3.5","3.3"
"Total","Maramures","2015","3.5","3.3","3.1"
"Total","Maramures","2016","3.3","3.1","3.2"
"Total","Maramures","2017","3.1","3.2","2.6"
"Total","Maramures","2018","3.2","2.6","2.3"
"Total","Maramures","2019","2.6","2.3","2.1"
"Total","Maramures","2020","2.3","2.1","1.9"
"Total","Maramures","2021","2.1","1.9","undefined"
"Total","Maramures","2022","1.9","undefined","undefined"
"Total","Satu Mare","2000","4.5","3.1","4"
"Total","Satu Mare","2001","3.1","4","2.8"
"Total","Satu Mare","2002","4","2.8","2"
"Total","Satu Mare","2003","2.8","2","3.4"
"Total","Satu Mare","2004","2","3.4","3.4"
