Player,Nation,Pos,Age,Stat,Value
Sandro Tonali,Italy,Midfielder,22,MatchesPlayed,48
Sandro Tonali,Italy,Midfielder,22,PlayedStarting11,44
Sandro Tonali,Italy,Midfielder,22,MinutesPlayed,3974
Sandro Tonali,Italy,Midfielder,22,GoalsScored,2
Sandro Tonali,Italy,Midfielder,22,AssistsProvided,9
Sandro Tonali,Italy,Midfielder,22,GoalsAssists,11
Sandro Tonali,Italy,Midfielder,22,NonPenaltyGoals,2
Sandro Tonali,Italy,Midfielder,22,GoalsFromPenalty,0
Sandro Tonali,Italy,Midfielder,22,PenaltyKicksAttempted,0
Sandro Tonali,Italy,Midfielder,22,YellowCards,11
Sandro Tonali,Italy,Midfielder,22,RedCards,0
Sandro Tonali,Italy,Midfielder,22,ExpectedGoals_xG,3.0
Sandro Tonali,Italy,Midfielder,22,ExpectedNonPenaltyGoals,3.0
Sandro Tonali,Italy,Midfielder,22,ExpectedAssistsProvided,8.6
Sandro Tonali,Italy,Midfielder,22,ExpectedNonPenaltyGoalsAssistsProvided,11.6
Sandro Tonali,Italy,Midfielder,22,ProgressiveCarries,79
Sandro Tonali,Italy,Midfielder,22,ProgressivePasses,199
Sandro Tonali,Italy,Midfielder,22,ProgressivePassesReceived,116
Sandro Tonali,Italy,Midfielder,22,GoalsPer90Minutes,0.05
Sandro Tonali,Italy,Midfielder,22,AssistsPer90Minutes,0.2
Sandro Tonali,Italy,Midfielder,22,GoalsAssistsPer90Minutes,0.25
Sandro Tonali,Italy,Midfielder,22,NonPenaltyGoalsPer90Minutes,0.05
Sandro Tonali,Italy,Midfielder,22,NonPenaltyGoalsAssistsPer90Minutes,0.25
Sandro Tonali,Italy,Midfielder,22,ExpectedGoalsPer90Minutes,0.07
Sandro Tonali,Italy,Midfielder,22,ExpectedAssitsPer90Minutes,0.2
Sandro Tonali,Italy,Midfielder,22,ExpectedGoalsAssitsPer90Minutes,0.28
Sandro Tonali,Italy,Midfielder,22,NonPenaltyExpectedGoalsPer90Minutes,0.07
Sandro Tonali,Italy,Midfielder,22,NonPenaltyExpectedGoalsAssistsPer90Minutes,0.28
Sandro Tonali,Italy,Midfielder,22,InterceptionsPerGame,0.7
Sandro Tonali,Italy,Midfielder,22,TacklesPerGame,1.9
Sandro Tonali,Italy,Midfielder,22,DribbledPastPerGame,0.5
Sandro Tonali,Italy,Midfielder,22,ClearancesPerGame,0.5
Sandro Tonali,Italy,Midfielder,22,GroundDuelsWon,61%
Sandro Tonali,Italy,Midfielder,22,AerialDuelsWon,45%
Sandro Tonali,Italy,Midfielder,22,GroundDuelsWon_int,61
Sandro Tonali,Italy,Midfielder,22,AerialDuelsWon_int,45
Theo Hernandez,France,Defender,24,MatchesPlayed,45
Theo Hernandez,France,Defender,24,PlayedStarting11,44
Theo Hernandez,France,Defender,24,MinutesPlayed,3850
Theo Hernandez,France,Defender,24,GoalsScored,4
Theo Hernandez,France,Defender,24,AssistsProvided,4
Theo Hernandez,France,Defender,24,GoalsAssists,8
Theo Hernandez,France,Defender,24,NonPenaltyGoals,3
Theo Hernandez,France,Defender,24,GoalsFromPenalty,1
Theo Hernandez,France,Defender,24,PenaltyKicksAttempted,1
Theo Hernandez,France,Defender,24,YellowCards,10
Theo Hernandez,France,Defender,24,RedCards,0
Theo Hernandez,France,Defender,24,ExpectedGoals_xG,4.6
Theo Hernandez,France,Defender,24,ExpectedNonPenaltyGoals,3.8
Theo Hernandez,France,Defender,24,ExpectedAssistsProvided,4.9
Theo Hernandez,France,Defender,24,ExpectedNonPenaltyGoalsAssistsProvided,8.7
Theo Hernandez,France,Defender,24,ProgressiveCarries,139
Theo Hernandez,France,Defender,24,ProgressivePasses,174
Theo Hernandez,France,Defender,24,ProgressivePassesReceived,184
Theo Hernandez,France,Defender,24,GoalsPer90Minutes,0.09
Theo Hernandez,France,Defender,24,AssistsPer90Minutes,0.09
Theo Hernandez,France,Defender,24,GoalsAssistsPer90Minutes,0.19
Theo Hernandez,France,Defender,24,NonPenaltyGoalsPer90Minutes,0.07
Theo Hernandez,France,Defender,24,NonPenaltyGoalsAssistsPer90Minutes,0.16
Theo Hernandez,France,Defender,24,ExpectedGoalsPer90Minutes,0.11
Theo Hernandez,France,Defender,24,ExpectedAssitsPer90Minutes,0.12
Theo Hernandez,France,Defender,24,ExpectedGoalsAssitsPer90Minutes,0.23
